triple,sentence,shape,shape_type,size
Lerois_Lonol Occupation Vapormage Lerois_Lonol Occupation Ragesong ,,unknown,unknown,2
Caro_Nemeo HasFather Baba_Anate Baba_Anate HasMother Saham_Fliind ,,unknown,unknown,2
Corad_Creson PlaceOfBirth Estoliar Corad_Creson PlaceOfDeath Estoliar ,,unknown,unknown,2
Royne_Balre HairColor Maizely Royne_Balre RepresentedBy Delecta_Agency ,,unknown,unknown,2
Emrica_Note HasFather Roeran_Nadays Roeran_Nadays HasMother Chryse_Folee ,,unknown,unknown,2
Kleio_Awine PlaceOfBirth Barenti Kleio_Awine PlaceOfBurial Holy_Heart_of_Sacred_Soul_Cathedral ,,unknown,unknown,2
Ouashti_Osarum DateOfBirth 1975-05-30 Ouashti_Osarum HasChild Majeron_Vlare ,,unknown,unknown,2
Henes_Kimel DateOfBirth 1968-03-27 Henes_Kimel Occupation Resonarote ,,unknown,unknown,2
Vico_Iolle HasFather Norka_Elore Comad_Wimble Spouse Norka_Elore ,,unknown,unknown,2
Majeron_Vlare Employer Koilen Majeron_Vlare Occupation Nils_Anderssen ,,unknown,unknown,2
Jaro_Tynos DateOfDeath 1877-09-03 Jaro_Tynos PlaceOfDeath Siepkenheim ,,unknown,unknown,2
Ohleen_Ranon PlaceOfBirth Zayaco Ohleen_Ranon PlaceOfDeath Chappelles ,,unknown,unknown,2
Raeon_Parvas Occupation Shade_Watersmith Raeon_Parvas Occupation Spactumerer ,,unknown,unknown,2
Holo_Norvah ReligionOrWorldview Bluesaunaism Holo_Norvah WritingLanguage Teliris ,,unknown,unknown,2
Halexaina_Reian Occupation Core_Cartographer Halexaina_Reian Occupation Caravanner ,,unknown,unknown,2
Ouashti_Osarum DateOfBirth 1956-01-31 Ouashti_Osarum ParticipantIn Ignatus_Cup ,,unknown,unknown,2
Ethar_Gilme DateOfBirth 1900-04-25 Ethar_Gilme DateOfDeath 1947-07-27 ,,unknown,unknown,2
Jorja_Zerne DateOfBirth 1986-01-13 Jorja_Zerne Occupation Werner_Gerstner ,,unknown,unknown,2
Roeran_Nadays Mass 200.0_pound Roeran_Nadays NativeLanguage Semplin ,,unknown,unknown,2
Orgo_Lorin DateOfBirth 2242-09-22 Orgo_Lorin PlaceOfDeath Vernieyo ,,unknown,unknown,2
Fenen_Donco Occupation Flavorseeker Fenen_Donco PlaceOfBirth Luckywater ,,unknown,unknown,2
Liath_Torec Occupation Inamae Liath_Torec PlaceOfBirth Rostdalt ,,unknown,unknown,2
SeSimon_Ymve Occupation Boundary_Agent SeSimon_Ymve PlaceOfDeath Furanodu ,,unknown,unknown,2
Wanaonta_Ismon DateOfBirth 1975-05-30 Wanaonta_Ismon Occupation Rippolg ,,unknown,unknown,2
Quintin_Yoson Mass 84.0_kilogram Quintin_Yoson Occupation Mistkeeper ,,unknown,unknown,2
Jakethoan_Narcis DateOfDeath 1959-01-05 Jakethoan_Narcis PlaceOfDeath Neerimvarn ,,unknown,unknown,2
Sessas_Neilo Occupation Hefeah_Kravin Sessas_Neilo Sport Phardrenus ,,unknown,unknown,2
Dovay_Ezzio HasMother Asthona_Meyas Dovay_Ezzio PlaceOfBirth Grov Dovay_Ezzio PositionHeld Aulus_Felisonius ,,unknown,unknown,3
Sliman_Sing DateOfBirth 1943-02-22 Sliman_Sing ParticipantIn Sky_Pogoing Sliman_Sing Sport Phemonic ,,unknown,unknown,3
Winin_Max DateOfBirth 1978-06-01 Winin_Max PlaceOfBirth Hycilo Winin_Max Sport Expik ,,unknown,unknown,3
Gevril_Eino NativeLanguage Nelmorith Gevril_Eino Occupation Shade_Watersmith Gevril_Eino PlaceOfDeath Ferroz ,,unknown,unknown,3
Elzer_Padon DateOfBirth 1978-06-01 Elzer_Padon ParticipantIn Teucrian_Cup_XVI Elzer_Padon Sport Impulsify ,,unknown,unknown,3
Ranyar_Phael DateOfDeath 1945 Ranyar_Phael Occupation Galvanicetcher Ranyar_Phael PlaceOfBirth Crixuvia ,,unknown,unknown,3
Ethar_Gilme Mass 78.0_kilogram Ethar_Gilme Occupation Shizuka_Caoimhin Ethar_Gilme ParticipantIn Liquid_Aqualete ,,unknown,unknown,3
Lerois_Lonol Mass 87.0_kilogram Lerois_Lonol ParticipantIn 2009-10_Loop_Cup Lerois_Lonol PlaceOfBirth Sertonnor ,,unknown,unknown,3
Nolin_Haran CauseOfDeath Sentraxiloisis Nolin_Haran MannerOfDeath Trancept_Tangle_Incident Nolin_Haran PlaceOfDeath Maldis ,,unknown,unknown,3
Jorel_Calyon DateOfBirth 1918-04-25 Jorel_Calyon Mass 85.0_kilogram Jorel_Calyon ParticipantIn Erobran_Atheletics ,,unknown,unknown,3
Telion_Trame Employer Aberlon_High_Academy Telion_Trame Occupation Spin_Circuit_Probeologist Telion_Trame PlaceOfBirth Riverstone ,,unknown,unknown,3
Voqril_Ervel Employer Tuliot_Private_University Voqril_Ervel Occupation Virtual_Technician Voqril_Ervel ParticipantIn Agletha ,,unknown,unknown,3
Kleio_Awine NativeLanguage Phalndyce Kleio_Awine Sport Bouncethraw Kleio_Awine WritingLanguage Phalndyce ,,unknown,unknown,3
Soner_Onnawe Employer Spaldinford_College Soner_Onnawe Occupation Profesor_Andrianus_Tero Soner_Onnawe ReligionOrWorldview Neo-Karmunism ,,unknown,unknown,3
Assova_Amevis MannerOfDeath Narirrapture Assova_Amevis NotableWork Sironk Assova_Amevis Occupation Labyrinthologist ,,unknown,unknown,3
Coltion_Gowvan FieldOfWork Skyline_Drama_Co. Coltion_Gowvan Occupation Argil_Gamin Coltion_Gowvan PlaceOfBirth Quirmous ,,unknown,unknown,3
Greyno_Ash DateOfBirth 1930-03-04 Greyno_Ash PositionHeld Supreme_Adjudicator Greyno_Ash SocialClassification Erethedos ,,unknown,unknown,3
Balamor_Donae Occupation Labyrinthologist Balamor_Donae PlaceOfBirth Chellore Balamor_Donae WritingLanguage Aglendian ,,unknown,unknown,3
Salvitu_Velau Occupation Zallis_Fintea Salvitu_Velau PlaceOfBirth Grov Salvitu_Velau PlaceOfBurial Temple_of_Quiris ,,unknown,unknown,3
Erjano_Metcan Mass 72.0_kilogram Erjano_Metcan ParticipantIn Quawnemtea Erjano_Metcan PlaceOfBirth Altoirnat ,,unknown,unknown,3
Holo_Norvah DateOfDeath 1943-02-22 Holo_Norvah PlaceOfBirth Darskon Holo_Norvah PlaceOfDeath Brex ,,unknown,unknown,3
Hadan_Takeon Mass 72.0_kilogram Hadan_Takeon ParticipantIn 2094-95_Heatwave_Series Hadan_Takeon PlaceOfBirth Chappelles ,,unknown,unknown,3
Nolin_Haran Mass 75.0_kilogram Nolin_Haran Nickname Frupopp Nolin_Haran Sport Impulsify ,,unknown,unknown,3
Halexaina_Reian Genre Astro-Western Halexaina_Reian NativeLanguage Vieberast Halexaina_Reian Occupation Stellar_Scribe ,,unknown,unknown,3
Coltion_Gowvan Occupation Xavier_Zierke Coltion_Gowvan ParticipantIn Agletha Coltion_Gowvan PlaceOfBirth Mowengi ,,unknown,unknown,3
Nash_Zuenir NativeLanguage Phalndyce Nash_Zuenir Occupation Koral Nash_Zuenir PlaceOfBirth Nalmonia ,,unknown,unknown,3
Salvitu_Velau Employer Sentricus_Borough_Public_University Salvitu_Velau FieldOfWork Aquiexials Salvitu_Velau Occupation Automaton_Trader ,,unknown,unknown,3
Filounton_Bonen DateOfBirth 1980-06-13 Filounton_Bonen FieldOfWork Wabblinshaw Filounton_Bonen Occupation Pyromancer ,,unknown,unknown,3
Jakethoan_Narcis DateOfBirth 1949-12-01 Jakethoan_Narcis Occupation Roboticist Jakethoan_Narcis PlaceOfBirth Vorgor ,,unknown,unknown,3
Coltion_Gowvan DateOfBirth 1987 Coltion_Gowvan FieldOfWork Avanicology Coltion_Gowvan Occupation Horizon_Stitcher ,,unknown,unknown,3
Kevalon_Nemes DateOfBirth 1964-11-29 Kevalon_Nemes Occupation Valkyrie_Relocation_Specialists Kevalon_Nemes ParticipantIn Erobran_Atheletics ,,unknown,unknown,3
Greyno_Ash AcademicDegree Doctor_of_Astralism Greyno_Ash FieldOfWork Pryonx Greyno_Ash Occupation Vapormage ,,unknown,unknown,3
Fretheon_Rykne Occupation Logonima Fretheon_Rykne PlaceOfBirth Sunsprite_Crossing Fretheon_Rykne PositionHeld Head_Speaker ,,unknown,unknown,3
Shanteer_Trilan DateOfDeath 1968-03-30 Shanteer_Trilan Genre Dinitrine Shanteer_Trilan PlaceOfDeath Daylight_Valley_Cemetery ,,unknown,unknown,3
Gule_Yarcon DateOfBirth 1830-12-10 Gule_Yarcon FieldOfWork Zimlian Gule_Yarcon Genre Codemoted ,,unknown,unknown,3
Toveg_Mayf NativeLanguage Tohmema Toveg_Mayf Occupation Burlex_Voofer Toveg_Mayf Sport Clipsters ,,unknown,unknown,3
Hadan_Takeon Occupation Penema Hadan_Takeon PlaceOfDeath Paranthia Hadan_Takeon ReligionOrWorldview Divyana_Faith ,,unknown,unknown,3
Baba_Anate Mass 96.0_kilogram Baba_Anate Occupation Iganus_Soori Baba_Anate ParticipantIn Erobran_Atheletics ,,unknown,unknown,3
Leonan_Kwarr Mass 85.0_kilogram Leonan_Kwarr ParticipantIn Aqu Leonan_Kwarr PlaceOfBirth Fan ,,unknown,unknown,3
Telion_Trame ParticipantIn 2047-48_Oceana_Open Telion_Trame PlaceOfBirth Raelot Telion_Trame Sport Gyraina ,,unknown,unknown,3
Ranyar_Phael Employer Oxgern_Technological_&_Scientific_University Ranyar_Phael Occupation Kaluinne Ranyar_Phael PlaceOfBirth Nahab ,,unknown,unknown,3
Norka_Elore Employer Tuliot_Private_University Norka_Elore FieldOfWork Spectamatic. Norka_Elore PlaceOfBirth Flampose ,,unknown,unknown,3
Raeon_Parvas ParticipantIn Liquid_Aqualete Raeon_Parvas PlaceOfBirth Ardenton Raeon_Parvas Sport Neoarchery ,,unknown,unknown,3
Fessenan_Dan Mass 70.0_kilogram Fessenan_Dan ParticipantIn Erobran_Atheletics Fessenan_Dan Sport Gyraina ,,unknown,unknown,3
Caro_Nemeo DateOfDeath 1968-03-30 Caro_Nemeo Employer Tuliot_Private_University Caro_Nemeo FieldOfWork OmegaUltrasonix_Solutions ,,unknown,unknown,3
Nash_Zuenir DateOfBirth 1980-06-13 Nash_Zuenir Occupation Burlex_Voofer Nash_Zuenir Sport Neoarchery ,,unknown,unknown,3
Lesollax_Neais Occupation Flucomancer Lesollax_Neais Occupation Conduit_Dancer Lesollax_Neais PlaceOfDeath Reymary ,,unknown,unknown,3
Zoogren_Stav DateOfBirth 1895-04-09 Zoogren_Stav ParticipantIn Trimpulse Zoogren_Stav Sport Gyraina ,,unknown,unknown,3
Arabon_Sanle Occupation Neyre_Ranalo Arabon_Sanle ParticipantIn Trimpulse Arabon_Sanle Sport Equilisio ,,unknown,unknown,3
Arrya_Nihte Occupation Draconius_Estervan Arrya_Nihte PlaceOfBirth Brightside_Valley Arrya_Nihte WritingLanguage Jeldarian ,,unknown,unknown,3
Marcil_Varcin Mass 80.0_kilogram Marcil_Varcin ParticipantIn Aqu Marcil_Varcin PlaceOfBirth Pelader Marcil_Varcin Sport Expik ,,unknown,unknown,4
Jaro_Tynos DateOfBirth 1992-10-08 Jaro_Tynos Occupation Stellar_Scribe Jaro_Tynos ParticipantIn Liquid_Aqualete Jaro_Tynos Sport Gyraina ,,unknown,unknown,4
Corad_Creson DateOfBirth 1961-01-05 Corad_Creson Employer Tuliot_Private_University Corad_Creson FieldOfWork Adleymia Corad_Creson Occupation Fuel_Emissary ,,unknown,unknown,4
Yiprun_Iriles DateOfBirth 1942-03-29 Yiprun_Iriles Mass 83.0_kilogram Yiprun_Iriles ParticipantIn Agletha Yiprun_Iriles PlaceOfBirth Rostdalt ,,unknown,unknown,4
Ganasah_Jilson HasChild Emrica_Note Ganasah_Jilson PlaceOfBirth Mazelolle Ganasah_Jilson PositionHeld Imperial_Sovereign Ganasah_Jilson WorkLocation Ganac ,,unknown,unknown,4
Voqril_Ervel DateOfBirth 1935-11-21 Voqril_Ervel HasChild Avaneon_Veinn Voqril_Ervel NumberOfChildren 3 Voqril_Ervel Spouse Fironia_Towx ,,unknown,unknown,4
Sessas_Neilo HasChild Koson_Marqo Sessas_Neilo HasFather Netom_Ecil Sessas_Neilo HasMother Royne_Balre Sessas_Neilo Spouse Jakethoan_Narcis ,,unknown,unknown,4
Chayneal_Ersh HasChild Atok_Gesse Chayneal_Ersh NominatedFor Zmering_Movie_Awards Chayneal_Ersh Occupation Alvry Chayneal_Ersh PlaceOfBirth Jorhaen ,,unknown,unknown,4
Holo_Norvah Mass 125.0_kilogram Holo_Norvah Occupation Virtual_Technician Holo_Norvah ParticipantIn Liquid_Aqualete Holo_Norvah PlaceOfBirth Netheloa ,,unknown,unknown,4
Liath_Torec Occupation Interval_Eclipse_Batcher Liath_Torec ParticipantIn Liquid_Aqualete Liath_Torec Sibling Royne_Balre Royne_Balre Sport Hexobawl ,,unknown,unknown,4
Parem_Ripin Employer Novou_Krosle Parem_Ripin Occupation Gruntley_Garnop Parem_Ripin PlaceOfBirth Chappelles Parem_Ripin PlaceOfDeath Vissamie ,,unknown,unknown,4
Filounton_Bonen DateOfBirth 1876-05-08 Filounton_Bonen ParticipantIn Trimpulse Filounton_Bonen PlaceOfBirth Taum Filounton_Bonen Sport Kernall ,,unknown,unknown,4
Aderon_Feenon HasChild Asthona_Meyas Aderon_Feenon PlaceOfBirth Nresson Aderon_Feenon Relative Jorja_Zerne Aderon_Feenon Spouse Ranor_Ondale ,,unknown,unknown,4
Rechart_Skyel Employer The_Palandra_Institute Rechart_Skyel Occupation Valkyrie_Relocation_Specialists Rechart_Skyel WorkLocation Zadovrey Rechart_Skyel WritingLanguage Morsija ,,unknown,unknown,4
Roka_Maram DateOfBirth 0982-10-13 Roka_Maram Occupation Colek_Duborn Roka_Maram ParticipantIn 2009-10_Loop_Cup Roka_Maram Sport Kinzurg ,,unknown,unknown,4
Kevalon_Nemes DateOfBirth 1947-07-27 Kevalon_Nemes ParticipantIn Floourning Kevalon_Nemes PlaceOfBirth Vodolon Kevalon_Nemes Sport Quatalon ,,unknown,unknown,4
Vackeron_Bline DateOfBirth 1862-02-14 Vackeron_Bline EthnicGroup Lelenzians Vackeron_Bline ParticipantIn Doododmil_Olympiad Vackeron_Bline Sport Neoarchery ,,unknown,unknown,4
Coicus_Wilon DateOfBirth 2002-04-22 Coicus_Wilon Occupation Burlex_Voofer Coicus_Wilon PlaceOfBirth Fergieau Coicus_Wilon Sport Impulsify ,,unknown,unknown,4
Leonan_Kwarr Mass 70.0_kilogram Leonan_Kwarr ParticipantIn Agletha Leonan_Kwarr PlaceOfBirth Asperanis Leonan_Kwarr Sport Xandi ,,unknown,unknown,4
Elzer_Padon Employer Canwell_Press Elzer_Padon NumberOfChildren 2 Elzer_Padon Occupation Fluxcove_Drawer Elzer_Padon StudentOf Dakron_Sater ,,unknown,unknown,4
Roka_Maram Employer Highetto_Research_Institute Roka_Maram FieldOfWork Numfolmatics Roka_Maram Occupation Cartophag Roka_Maram WorkLocation Miradoal ,,unknown,unknown,4
Farmer_Mesten DateOfBirth 1975-05-30 Farmer_Mesten Family Vasily_Claw Farmer_Mesten HasChild Exar_Sesar Farmer_Mesten Spouse Majeron_Vlare ,,unknown,unknown,4
Lesollax_Neais EthnicGroup Faethius Lesollax_Neais Occupation Eonar Lesollax_Neais ParticipantIn Floourning Lesollax_Neais Sport Floonboarding ,,unknown,unknown,4
Zannes_Sorem HasChild Dantor_Pauran Zannes_Sorem HasFather Halexaina_Reian Zannes_Sorem PlaceOfBirth Garrido_Point Zannes_Sorem PlaceOfDeath Gersven ,,unknown,unknown,4
"Netom_Ecil DateOfBirth 1944-10-28 Netom_Ecil NotableWork ""Galactic_Force"" Netom_Ecil Occupation Glasnaar_Drawer Netom_Ecil Sibling Ethar_Gilme ",,unknown,unknown,4
Gateyon_Rious HasChild Kole_Maasing Ohleen_Ranon HasMother Dracon_Yialon Dracon_Yialon PlaceOfDeath Ferroz Kole_Maasing Spouse Dracon_Yialon ,,unknown,unknown,4
KinsMixin_Orsh Genre Outchillin KinsMixin_Orsh NativeLanguage Dendarican KinsMixin_Orsh Occupation Labyrinthologist KinsMixin_Orsh WritingLanguage Dendarican ,,unknown,unknown,4
Halexaina_Reian DateOfDeath 1972-11-15 Halexaina_Reian Employer Terran_Mountaineers Halexaina_Reian InfluencedBy Tuxin_Fohean Halexaina_Reian PlaceOfBirth Windsbury ,,unknown,unknown,4
Greyno_Ash Genre Clubsea Greyno_Ash Instrument Axiluro Greyno_Ash NativeLanguage Phalndyce Greyno_Ash Occupation Shimmer_Mechanic ,,unknown,unknown,4
Brevin_Jakule Mass 82.0_kilogram Brevin_Jakule ParticipantIn 2024-25_Century_Games Brevin_Jakule PlaceOfBirth Pratara Brevin_Jakule Sport Impulsify ,,unknown,unknown,4
Egor_Jipen HasChild Corad_Creson Wolf_Runan HasMother Enna_Ceana Enna_Ceana PlaceOfDeath Juwaasa Corad_Creson Spouse Enna_Ceana ,,unknown,unknown,4
Saham_Fliind HasFather Tula_Nidello Saham_Fliind Occupation Gracehunter Saham_Fliind PlaceOfBurial Remnantellica_Sanctum Saham_Fliind PlaceOfDeath Santonnisio ,,unknown,unknown,4
Nesett_Nialan HasChild Filounton_Bonen Nesett_Nialan HasFather Quintin_Yoson Nesett_Nialan HasMother Mallen_Reyvas Nesett_Nialan Spouse Gule_Yarcon ,,unknown,unknown,4
Nolin_Haran DateOfBirth 1900-04-25 Nolin_Haran ParticipantIn Ladder_T Nolin_Haran PlaceOfBirth Jovehill Nolin_Haran Sport Equilisio ,,unknown,unknown,4
Baba_Anate HasChild Chayneal_Ersh Baba_Anate HasFather Tuxin_Fohean Baba_Anate HasMother Makin_Grinyon Baba_Anate Spouse Quintin_Yoson ,,unknown,unknown,4
Mallen_Reyvas Occupation Asherl Mallen_Reyvas PlaceOfBirth Venalla Mallen_Reyvas Spouse Payda_Ploce Mallen_Reyvas WritingLanguage Jelorin ,,unknown,unknown,4
Marcil_Varcin DateOfBirth 1830-12-10 Marcil_Varcin DateOfDeath 1938-03-02 Marcil_Varcin PlaceOfBirth Windsbury Marcil_Varcin PlaceOfBurial Brinberow ,,unknown,unknown,4
Holo_Norvah HasChild Fretheon_Rykne Holo_Norvah HasMother Anzil_Davryn Holo_Norvah PositionHeld Emperor_Tarsin Holo_Norvah Sibling Frox_Haria ,,unknown,unknown,4
Caro_Nemeo DateOfBirth 1961-01-05 Caro_Nemeo ParticipantIn Czenzomar Caro_Nemeo PositionHeld Host_of_Harbingers Caro_Nemeo ReligionOrWorldview Monakonism ,,unknown,unknown,4
Ohleen_Ranon DateOfBirth 1985-10-08 Ohleen_Ranon Employer Aquivision Ohleen_Ranon Occupation Vidgrapher Ohleen_Ranon Sibling Salvitu_Velau ,,unknown,unknown,4
Coicus_Wilon HasFather Racso_Delain Racso_Delain HasMother Narina_Orga Coicus_Wilon PositionHeld Emperor_Caledus Racso_Delain Sibling Zoogren_Stav ,,unknown,unknown,4
Nash_Zuenir FieldOfWork Boraine_Chemistry Nash_Zuenir InfluencedBy Anix_Tisge Nash_Zuenir Occupation Glaze_Welder Nash_Zuenir PlaceOfBirth Brinberow ,,unknown,unknown,4
Arrya_Nihte Family Vasily_Claw Roka_Maram HasChild Arrya_Nihte Roka_Maram HasFather Salvitu_Velau Arrya_Nihte Sibling Norka_Elore ,,unknown,unknown,4
Jeccig_Viidon DateOfBirth 1947-07-27 Jeccig_Viidon Genre Wolf_Tactics Jeccig_Viidon Occupation Occonomyist Jeccig_Viidon WritingLanguage Phalndyce ,,unknown,unknown,4
Payda_Ploce Employer Gatecity_Players Payda_Ploce FieldOfWork Yalmarkorr Payda_Ploce NativeLanguage Rikorv Payda_Ploce Occupation Stellar_Scribe ,,unknown,unknown,4
Orgo_Lorin NobleTitle High_Priestess Orgo_Lorin PlaceOfBirth Santonnisio Orgo_Lorin ReligiousOrder Order_of_the_Ent Orgo_Lorin WorkLocation Rextunal_Bay ,,unknown,unknown,4
Eustathios_Stathen Occupation Databinding_Engineer Holo_Norvah ParticipantIn Tiktok_Tramp Eustathios_Stathen Sibling Holo_Norvah Eustathios_Stathen Sport Gyraina ,,unknown,unknown,4
Asthona_Meyas PlaceOfDeath Oglemonk_Priory Asthona_Meyas PositionHeld Commander_of_Exile Asthona_Meyas Student Ouashti_Osarum Dakron_Sater StudentOf Ouashti_Osarum ,,unknown,unknown,4
Aidah_Lerel HasFather Elai_Shorce Aidah_Lerel ParticipantIn Balzjet Aidah_Lerel PlaceOfBirth Noxit Elai_Shorce PlaceOfDeath Astemal ,,unknown,unknown,4
Zoogren_Stav DateOfBirth Not_found Zoogren_Stav Occupation Cryptolithographer Zoogren_Stav PlaceOfBirth Laaidine Zoogren_Stav StudentOf Aloro_Zon ,,unknown,unknown,4
Emrica_Note HasFather Dantor_Pauran Dantor_Pauran Occupation Libertine Emrica_Note PlaceOfBirth Z Dantor_Pauran PlaceOfDeath Sollenv Dantor_Pauran PositionHeld Ursius_Volcanus ,,unknown,unknown,5
Lerois_Lonol DateOfBirth 1847 Lerois_Lonol Genre Galuria Lerois_Lonol HasFather Yocuim_Ticor Lerois_Lonol Occupation Skypainter Lerois_Lonol PlaceOfDeath Jesirren ,,unknown,unknown,5
Netom_Ecil Occupation Draconius_Estervan Netom_Ecil PlaceOfDeath Amestalin Netom_Ecil PositionHeld Ulbora_Mallren Netom_Ecil ReligionOrWorldview Bluesaunaism Netom_Ecil WorkLocation Amestalin ,,unknown,unknown,5
Brineon_Darka DateOfBirth 1829-06-16 Brineon_Darka Employer Tormityard_University Brineon_Darka FieldOfWork Adapt Brineon_Darka HasChild Amunda_Lune Brineon_Darka PlaceOfBirth Amestalin ,,unknown,unknown,5
Jorja_Zerne Genre Kung_Tamarrb Jorja_Zerne Instrument Axiluro Socal_Amell Occupation Alvry Jorja_Zerne Pseudonym Syndrye Jorja_Zerne Spouse Socal_Amell ,,unknown,unknown,5
Balamor_Donae DateOfBirth 1986-01-13 Balamor_Donae Employer Mosilina_Theological_Sciences_Institute Balamor_Donae Occupation Spin_Circuit_Probeologist Balamor_Donae PlaceOfBirth Iraation Balamor_Donae PositionHeld Minister_Lynton_K ,,unknown,unknown,5
Chroto_Xajean NativeLanguage Rikorv Chroto_Xajean Occupation Preceptor_Inventor Chroto_Xajean ParticipantIn Czenzomar Chroto_Xajean PositionHeld Royal_Regent Chroto_Xajean Spouse Krant_Nemol ,,unknown,unknown,5
Dana_Grago Employer Sentricus_Borough_Public_University Dana_Grago HasChild Gateyon_Rious Dana_Grago Occupation Energy_Weaver Dana_Grago PlaceOfBirth Krugra Dana_Grago ReligionOrWorldview Makonor ,,unknown,unknown,5
Chayneal_Ersh DateOfBirth 1930-03-04 Chayneal_Ersh FieldOfWork Thanolissenism Chayneal_Ersh HasChild Malonor_Vosse Chayneal_Ersh Occupation Spin_Circuit_Probeologist Chayneal_Ersh PlaceOfBirth Zayaco ,,unknown,unknown,5
Roka_Maram HasChild Dauton_Lasse Gule_Yarcon HasFather Roka_Maram Gule_Yarcon HasMother Ayre_Zhirina Gule_Yarcon PlaceOfBirth Caerusia Roka_Maram Spouse Ayre_Zhirina ,,unknown,unknown,5
Eustathios_Stathen DateOfBirth 1943-02-22 Eustathios_Stathen DateOfDeath 1949-01-10 Anix_Tisge Employer Serea_Academic_Institute Eustathios_Stathen PlaceOfBirth Grov Eustathios_Stathen Sibling Anix_Tisge ,,unknown,unknown,5
Wolf_Runan Family House_of_Elowe Liairna_Anatle HasChild Little_Karm Liairna_Anatle HasChild Wolf_Runan Liairna_Anatle HasFather Voqril_Ervel Liairna_Anatle HasMother Majeron_Vlare ,,unknown,unknown,5
Nolin_Haran Employer Vortex_League Nolin_Haran HasFather Elai_Shorce Nolin_Haran NominatedFor Grandiose_Nobel_Prize_for_Political_Leadership Nolin_Haran PlaceOfBirth Elbaro Nolin_Haran PlaceOfDeath Akidity ,,unknown,unknown,5
Nipher_Ylize DateOfBirth 1928-07-26 Nipher_Ylize PlaceOfDeath Darverdock_Fortress Nipher_Ylize PositionHeld Epochal_Celestial Nipher_Ylize ReligionOrWorldview Bluesaunaism Nipher_Ylize Spouse Marcil_Varcin ,,unknown,unknown,5
Phrascy_Yavon HasChild Yocuim_Ticor Phrascy_Yavon Occupation Ethercrafter Phrascy_Yavon PlaceOfBurial Stomsurf Phrascy_Yavon ReligionOrWorldview Wankahni Phrascy_Yavon Spouse Mallen_Reyvas ,,unknown,unknown,5
Holo_Norvah Family The_Bakenshaws Holo_Norvah HasChild Zannes_Sorem Holo_Norvah NativeLanguage Messen Holo_Norvah Occupation Spin_Circuit_Probeologist Holo_Norvah Spouse Greyno_Ash ,,unknown,unknown,5
Jakarso_Sminex HasMother Norka_Elore Norka_Elore NumberOfChildren 6 Norka_Elore Occupation Master_Biologist Jakarso_Sminex PlaceOfBirth Grethlyn Jakarso_Sminex StudentOf Nolin_Haran ,,unknown,unknown,5
