triple,sentence,shape,shape_type,size
Gremeron areaTotal Pemblecliff Refreec_Construction industry Resofil Refreec_Construction location Caranduca Refreec_Construction location Gremeron ,,(X (X) (X) (X (X))),mixed,4
Taglorney genre Fumefunk Taglorney precededBy Evolulution Evolulution precededBy Rodcksas ,,(X (X) (X (X))),mixed,3
Westsail_College affiliation Chiasell_University_of_Global_Business Westsail_College campus Yeltsquare_Street Westsail_College country Zuvar Westsail_College director Lykaan ,,(X (X) (X) (X) (X)),sibling,4
Oshedon_Zaqar birthPlace Gremeron Oshedon_Zaqar deathPlace Gremeron Gremeron ethnicGroup Ilyonis ,,(X (X (X)) (X (X))),mixed,3
Belfinto artist Assault_Orbit Belfinto genre Waveskank Belfinto producer Assault_Orbit Belfinto recordLabel Sequencing_Selection Belfinto recordedIn Natraia Belfinto recordedIn Cystlria Belfinto runtime 1025.82 ,,(X (X) (X) (X) (X) (X) (X) (X)),sibling,7
Breaking_Barriers literaryGenre Xetoimime Breaking_Barriers publisher Corexco_Books ,,(X (X) (X)),sibling,2
Elzer_Padon award Supreme_Bravery_Insignia Elzer_Padon birthPlace Axlrise Elzer_Padon deathPlace Eskland ,,(X (X) (X) (X)),sibling,3
Mariana album Bedufnil Mariana followedBy Charmed_Productions Mariana producer Flix ,,(X (X) (X) (X)),sibling,3
"Portal_of_Power author Ganasah_Jilson Portal_of_Power followedBy ""The_Secret_Treasures_of_Pangaeum"" Portal_of_Power literaryGenre LunIX Portal_of_Power publisher Phoenix_Books Portal_of_Power releaseDate November_13_1932 ",,(X (X) (X) (X) (X) (X)),sibling,5
TriStone_Logistics industry Foquafling TriStone_Logistics location Quarvona ,,(X (X) (X)),sibling,2
Uprising_on_the_Horizon cinematography Nipher_Ylize Uprising_on_the_Horizon runtime 3450.67 Uprising_on_the_Horizon writer Toveg_Mayf ,,(X (X) (X) (X)),sibling,3
Tula_Nidello deathDate July_8_1975 Tula_Nidello professionalField Orthotex Tula_Nidello spouse Blither_Xesto ,,(X (X) (X) (X)),sibling,3
Asthona_Meyas party Popular_Humanitarian_Movement Asthona_Meyas residence Dermas ,,(X (X) (X)),sibling,2
Brineon_Darka birthPlace Schnellbach Schnellbach country Arsynen Zecorma language Kirvi Brineon_Darka nationality Zecorma Brineon_Darka training Jibey ,,(X (X) (X (X)) (X (X))),mixed,5
Freshfier_Investments location Zevarim ,,(X (X)),NA,1
Haemara genre Jazziva Haemara recordLabel Laminar_Clicks Haemara recordLabel Within_The_Beat Haemara runtime 5892.34 Haemara writer Arrya_Nihte Haemara writer PulseByrd ,,(X (X) (X) (X) (X) (X) (X)),sibling,6
Liozooto musicComposer Raeon_Parvas Liozooto starring Jeccig_Viidon Liozooto writer Hadan_Takeon ,,(X (X) (X) (X)),sibling,3
Lerois_Lonol activeYearsStartYear 1962 Lerois_Lonol associatedBand/associatedMusicalArtist Kelikons Lerois_Lonol genre Humblechip Lerois_Lonol instrument Sonarimbal Lerois_Lonol origin Torinla ,,(X (X) (X) (X) (X) (X)),sibling,5
Starborn_Gate category Mallentor_Art_Museum Starborn_Gate established 4101 Caelmount_County hasToItsSoutheast Yamarant_County Caelmount_County hasToItsWest Arnold_County Starborn_Gate location Caelmount_County ,,(X (X) (X) (X (X) (X))),mixed,5
Jerelize genre FattSwing Jerelize genre Borksonic Jerelize producer NeoRiffs Jerelize recordLabel Absorbing_Beats Jerelize releaseDate August_15_1978 ,,(X (X) (X) (X) (X) (X)),sibling,5
Trenning governmentType Military_Monocracy Trenning leaderTitle Sacred_Inquisitor Trenning populationDensity 443.36 Trenning populationMetro 1822.11 Trenning type Froxine Trenning utcOffset Tenyot ,,(X (X) (X) (X) (X) (X) (X)),sibling,6
Reign_of_Kings budget 615.97 Reign_of_Kings director Fironia_Towx Reign_of_Kings runtime 2989.47 Reign_of_Kings starring Fironia_Towx Reign_of_Kings starring Sessas_Neilo Reign_of_Kings writer Fironia_Towx ,,(X (X) (X) (X) (X) (X) (X)),sibling,6
Coicus_Wilon influencedBy Zannes_Sorem ,,(X (X)),NA,1
Koru's_Treasure starring Diathan_Sarnon Koru's_Treasure writer Diathan_Sarnon ,,(X (X) (X)),sibling,2
Frosty_Fig_Frenzy country Xo`neel Frosty_Fig_Frenzy course Twinenut Xo`neel currency Solio Xo`neel demonym Olivers Twinenut dishVariation Cammocyok Frosty_Fig_Frenzy mainIngredient Crispycuelta Frosty_Fig_Frenzy region Chacuco ,,(X (X) (X) (X (X)) (X (X) (X))),mixed,7
Zifholme leaderTitle Duchaince_ofmedia Zifholme populationDensity 735.56 Zifholme type Rhustment ,,(X (X) (X) (X)),sibling,3
Oceano_Airspace city Garrido_Point Garrido_Point country Tyndoria Sigh_Point_Airfield location Lidoire Sigh_Point_Airfield operatingOrganisation Oceano_Airspace Sigh_Point_Airfield runwayLength 823.43 ,,(X (X) (X) (X (X (X)))),mixed,5
Lychee_Lily_raganade country Kansya Lychee_Lily_raganade course Mozygem Kansya currency Ziorl Lychee_Lily_raganade ingredient Sunviddo ,,(X (X) (X) (X (X))),mixed,4
Bailative epoch JD1628109.9 Bailative periapsis 2231.16 ,,(X (X) (X)),sibling,2
Teegran populationDensity 887.94 Teegran timeZone UTC+06:13 ,,(X (X) (X)),sibling,2
Mottron_Design netIncome 887.94 Mottron_Design numberOfEmployees 3182.12 ,,(X (X) (X)),sibling,2
Exploration_of_Shadows broadcastedBy Yawick_Financers Exploration_of_Shadows creator Jantrar Exploration_of_Shadows lastAired March_17_3563 ,,(X (X) (X) (X)),sibling,3
Tremendous_Tangerine_Treat country Jyndola Tremendous_Tangerine_Treat course Krelmir Jyndola currency Zodd Jyndola demonym Brevons Tremendous_Tangerine_Treat region Xococalli ,,(X (X) (X) (X (X) (X))),mixed,5
Guilharme artist Oribyte Guilharme followedBy Virzseil ,,(X (X) (X)),sibling,2
Zozo_Isandria birthDate October_5_1452 Zozo_Isandria birthPlace Nymcris Zozo_Isandria deathPlace Wispor Zozo_Isandria mission Plutos_808-II ,,(X (X) (X) (X) (X)),sibling,4
Ole_Finisher cylinderCount 4652.95 Ole_Finisher engine Gyaden Ole_Finisher length 1.79_(sigma_mills) ,,(X (X) (X) (X)),sibling,3
Holo_Norvah birthDate February_9_1872 Holo_Norvah birthName SeSimon_Ymve Holo_Norvah deathPlace Zabrisky Holo_Norvah knownFor Morin's_Nullification ,,(X (X) (X) (X) (X)),sibling,4
"Pathway_to_Heaven author Cantan_Joron Pathway_to_Heaven literaryGenre Anixto Pathway_to_Heaven precededBy ""Whispers_of_the_Demonspawn"" Pathway_to_Heaven releaseDate February_4_1974 ",,(X (X) (X) (X) (X)),sibling,4
Mariana followedBy Shooting_Star_Studios Mariana producer Flix Mariana recordLabel Cutting_Edge Mariana writer Melacylon Mariana writer Spark_Fantasy ,,(X (X) (X) (X) (X) (X)),sibling,5
Mirbroux artist NuChronic Mirbroux followedBy Croymall Mirbroux precededBy T̷ar̊ot̕_Brave Mirbroux releaseDate February_4_1953 Mirbroux runtime 3938.98 ,,(X (X) (X) (X) (X) (X)),sibling,5
Stelloslink category Jorgasson_Villa Stelloslink country Qevassi Wernsville_County hasToItsSoutheast Timberhills_County Stelloslink location Wernsville_County Stelloslink municipality Sarlale ,,(X (X) (X) (X) (X (X))),mixed,5
Ouashti_Osarum birthPlace Tujir Ouashti_Osarum deathDate August_29_1981 Ouashti_Osarum deathPlace Drilori Ouashti_Osarum nationality Drilori ,,(X (X) (X) (X) (X)),sibling,4
Anbogard_Services city Welsley_Park Anbogard_Services country Sythea Anbogard_Services industry The_Infinite_Vault Anbogard_Services netIncome 3256.88 Anbogard_Services operatingIncome 2792.11 Anbogard_Services regionServed Sythea ,,(X (X) (X) (X) (X) (X) (X)),sibling,6
Rementi apoapsis 615.97 Rementi discovered December_13_1978 Rementi discoverer Erjano_Metcan Rementi orbitalPeriod 2781.47 ,,(X (X) (X) (X) (X)),sibling,4
Qumannn country Zecorma Qumannn elevationAboveTheSeaLevel 2165.77 Qumannn leaderTitle Mallen_Reyvas Qumannn utcOffset Raluxa ,,(X (X) (X) (X) (X)),sibling,4
Bedriun isPartOf Maizar Bedriun utcOffset Sampheka ,,(X (X) (X)),sibling,2
Wanaonta_Ismon spouse Celt_Saffron ,,(X (X)),NA,1
Eventenon_United champions Dinoro_Strikers Vimlirans_Athletic fullName Anpleus_Athletic Vimlirans_Athletic league Eventenon_United Vimlirans_Athletic numberOfMembers 4845.97 ,,(X (X) (X) (X (X))),mixed,4
Frosty_Fig_Frenzy country Gremeron Frosty_Fig_Frenzy course Swaswelli Frosty_Fig_Frenzy region Inovica ,,(X (X) (X) (X)),sibling,3
Vapcreek genre Gratercore Vapcreek producer Terra_Seize Vapcreek recordedIn Veestun Vapcreek recordedIn Visaty ,,(X (X) (X) (X) (X)),sibling,4
Gudkaw utcOffset 4985.27 ,,(X (X)),NA,1
Barrancel artist Trompunk Trompunk associatedBand/associatedMusicalArtist Yebon_Karcel ,,(X (X (X))),chain,2
Dakron_Sater birthPlace Bophaiy_County Bophaiy_County isPartOf Jinyan Dakron_Sater mission Scylla-One ,,(X (X) (X (X))),mixed,3
Noweilers_FC ground Fresca_Stadium Moirux_Heylin height 112.5_(furlongs) Moirux_Heylin youthclub Noweilers_FC ,,(X (X) (X (X))),mixed,3
Soulon assembly Hettigin Soulon assembly Carival Soulon productionEndYear 9523 ,,(X (X) (X) (X)),sibling,3
Meadowsweet areaTotal 4332.60 ,,(X (X)),NA,1
Seekers_in_the_Storm director Wolf_Runan Seekers_in_the_Storm musicComposer Norka_Elore Seekers_in_the_Storm releaseDate June_6_1989 Seekers_in_the_Storm runtime 4967.18 ,,(X (X) (X) (X) (X)),sibling,4
Magendaven_Productions location Bluemoon_Mansion ,,(X (X)),NA,1
Orgo_Lorin professionalField Cognoculture ,,(X (X)),NA,1
Clash_of_the_Ancients musicComposer Roka_Maram ,,(X (X)),NA,1
Desert_Riders broadcastedBy Acralect_Solutions Acralect_Solutions city Glich_Circulation_Center Desert_Riders creator Porviz Desert_Riders lastAired September_19_1927 Desert_Riders starring Zoogren_Stav ,,(X (X) (X) (X) (X (X))),mixed,5
Heat_Chaser buildDate Justle Heat_Chaser builder Readeria_Solutions ,,(X (X) (X)),sibling,2
Chidurynn_Division champions Tehghul_Hotspurs Blutos_FC league Chidurynn_Division Blutos_FC numberOfMembers 1384.43 ,,(X (X) (X (X))),mixed,3
Donloxur starring Halexaina_Reian ,,(X (X)),NA,1
Cinders_of_Conflict director Quintin_Yoson ,,(X (X)),NA,1
Boncoeur artist Plucksitt Boncoeur followedBy Zugplena Boncoeur genre Smudg_particle Boncoeur genre Chaostrap Boncoeur producer Plucksitt Boncoeur recordLabel Greasy_Blues Boncoeur releaseDate October_18_2003 ,,(X (X) (X) (X) (X) (X) (X) (X)),sibling,7
Redstart_Media certification Midnight_Flute_Sovereignty Undinee followedBy Redstart_Media Redstart_Media musicalArtist Jorja_Zerne Undinee producer Anasyshe ,,(X (X) (X (X) (X))),mixed,4
Noduku_Airport elevationAboveTheSeaLevel 3817.12 Noduku_Airport operatingOrganisation Aztaland_Airspace Noduku_Airport runwayLength 3520.39 Noduku_Airport runwayName 32U/14N ,,(X (X) (X) (X) (X)),sibling,4
Humdrift genre Swingbubble ,,(X (X)),NA,1
Arendine ethnicGroup Huulam Tuxin_Fohean nationality Arendine ,,(X (X (X))),chain,2
Simzitronix followedBy Cyopinee ,,(X (X)),NA,1
Verano completionDate October_11_1936 Verano owner Valmont_Academy ,,(X (X) (X)),sibling,2
Frextwo artist Dubwize Frextwo genre Boltslant Frextwo producer Dubwize Frextwo recordedIn Darno`lor Frextwo runtime 4537.51 ,,(X (X) (X) (X) (X) (X)),sibling,5
Kaleidoscope_Kiwi_Compote country Azenith Kaleidoscope_Kiwi_Compote course Rayliciousia Azenith currency Ecua Azenith demonym Roilons Kaleidoscope_Kiwi_Compote dishVariation Pamplizel ,,(X (X) (X) (X (X) (X))),mixed,5
Ruthoke timeZone UTC+11:02 ,,(X (X)),NA,1
Neverending_Waves distributor Titus_Films Neverending_Waves distributor CameraCare_Corporation CameraCare_Corporation type Farigolia ,,(X (X) (X (X))),mixed,3
Moirux_Heylin nationality Frescans ,,(X (X)),NA,1
Visci-pyramid category Widstone_Pagoda Visci-pyramid established 12237 Grerlite_County hasToItsSouthwest Feldstone_County Visci-pyramid location Grerlite_County ,,(X (X) (X) (X (X))),mixed,4
Vellata precededBy Klaras Vellata releaseDate May_22_1207 Vellata runtime 3131.91 Vellata writer Arabon_Sanle Vellata writer EndRhytm ,,(X (X) (X) (X) (X) (X)),sibling,5
Qarvasse isPartOf Tytrao Tytrao leader Enna_Ceana ,,(X (X (X))),chain,2
Plumful_Platter country Dysatria Plumful_Platter course Greeniesh Dysatria currency Badeka Plumful_Platter mainIngredient Hummelata ,,(X (X) (X) (X (X))),mixed,4
Marcil_Varcin professionalField Xastor's_Illumination_of_Mathematization ,,(X (X)),NA,1
Plouvre_University country Mivinsky Mivinsky leader Ryteon_Vem ,,(X (X (X))),chain,2
Coltion_Gowvan birthPlace Liangming ,,(X (X)),NA,1
Jara_Lumon almaMater Daltosty_Education_Hub Jara_Lumon birthName Elignoth_Schade Jara_Lumon knownFor Mercansch's_Observations ,,(X (X) (X) (X)),sibling,3
Malonor_Vosse almaMater Zesnor_University Malonor_Vosse professionalField Kemaing ,,(X (X) (X)),sibling,2
Warrior_of_the_Future producer Racso_Delain ,,(X (X)),NA,1
Jorel_Calyon associatedBand/associatedMusicalArtist Jara_Lumon Jorel_Calyon genre Codemoted ,,(X (X) (X)),sibling,2
Elignoth_Schade associatedBand/associatedMusicalArtist Pohnar Elignoth_Schade genre Whirldrawk Elignoth_Schade instrument Amarchitar Elignoth_Schade origin Riarrisa ,,(X (X) (X) (X) (X)),sibling,4
Expedition_Exo-7 broadcastedBy TriStone_Logistics TriStone_Logistics city Divinyl_Station Expedition_Exo-7 creator Vackeron_Bline Expedition_Exo-7 firstAired October_23_1903 Expedition_Exo-7 starring Balamor_Donae ,,(X (X) (X) (X) (X (X))),mixed,5
Vega address Tiralpin_Crescent Vega architect Jara_Lumon Vega buildingStartDate April_10_1932 Vilkena_Business_School country Aeros_`Sy Vega currentTenants Vilkena_Business_School Vega location Skymir ,,(X (X) (X) (X) (X) (X (X))),mixed,6
Memorial_to_the_Fall_of_the_Royal_Llarrian_Dynasty location Dyrron`le Memorial_to_the_Fall_of_the_Royal_Llarrian_Dynasty nativeName Verron ,,(X (X) (X)),sibling,2
Jazziva musicSubgenre Delasya ,,(X (X)),NA,1
Jorel_Calyon almaMater Carilon_Professional_Training_Academy Jorel_Calyon birthDate January_24_1978 Jorel_Calyon birthName Eustathios_Stathen Jorel_Calyon birthPlace Sunlenburg Jorel_Calyon knownFor Zevon's_Postulate ,,(X (X) (X) (X) (X) (X)),sibling,5
Weeblich gross 2575.41 Weeblich starring Ethar_Gilme ,,(X (X) (X)),sibling,2
Thrall-goad category Dextee_Clocktower Thrall-goad country Vlandon Thrall-goad established 12237 Mortioni_County hasToItsNorth Latren_County Thrall-goad location Mortioni_County ,,(X (X) (X) (X) (X (X))),mixed,5
Dr._Joe's_Animal_World broadcastedBy Zeusen_Transport Zeusen_Transport city Yakers_Crossing_Roadhouse Dr._Joe's_Animal_World lastAired January_13_1736 Dr._Joe's_Animal_World starring Amunda_Lune ,,(X (X) (X) (X (X))),mixed,4
Zoogren_Stav activeYearsStartYear August_19_1941 Frox_Haria deathYear November_21_1954 Land_of_the_Dragons director Zoogren_Stav Land_of_the_Dragons writer Norka_Elore Land_of_the_Dragons writer Frox_Haria ,,(X (X) (X (X)) (X (X))),mixed,5
Planet_Invaders broadcastedBy Firdec_Storage Planet_Invaders creator Kaygor ,,(X (X) (X)),sibling,2
Tennord leaderTitle Gorvythal_Province ,,(X (X)),NA,1
Qauntinos_FC postalCode BXX1 ,,(X (X)),NA,1
Seerens_Electronics foundingDate May_8_1967 Seerens_Electronics industry Resofil Seerens_Electronics keyPerson Superconciliator Seerens_Electronics location Grannula Seerens_Electronics numberOfEmployees 1025.82 Seerens_Electronics product Xenonyx Seerens_Electronics type Utorangi ,,(X (X) (X) (X) (X) (X) (X) (X)),sibling,7
Nesett_Nialan birthDate April_1_2007 Veldroyer_Athletic ground Villosin_Stadium Nesett_Nialan youthclub Veldroyer_Athletic ,,(X (X) (X (X))),mixed,3
Lerois_Lonol birthDate August_22_1513 Lerois_Lonol birthPlace Zhenning Lerois_Lonol nationality Tyndoria ,,(X (X) (X) (X)),sibling,3
Zylirah demonym Dhronax ,,(X (X)),NA,1
Will_of_the_Warriors runtime 467.99 Will_of_the_Warriors starring Lohant_Taelyn Will_of_the_Warriors writer Kory_Darvan ,,(X (X) (X) (X)),sibling,3
Roka_Maram birthYear 1962 Frox_Haria deathDate January_1_1877 The_Prophecy_of_Fear director Roka_Maram The_Prophecy_of_Fear writer Frox_Haria ,,(X (X (X)) (X (X))),mixed,4
Thiemoll cinematography Dana_Grago Thiemoll starring Amon_Ducam ,,(X (X) (X)),sibling,2
Netom_Ecil almaMater Ozeen_Technical_Training_Academy Netom_Ecil birthDate June_9_1968 Netom_Ecil deathDate November_21_1954 ,,(X (X) (X) (X)),sibling,3
Cirrus_Manufacturing foundingDate June_3_1957 Cirrus_Manufacturing type Sytoup ,,(X (X) (X)),sibling,2
Majeron_Vlare birthYear 3846 Majeron_Vlare debutTeam Tombstone_Knights ,,(X (X) (X)),sibling,2
Symphony_of_Dreams literaryGenre Guratai ,,(X (X)),NA,1
Chroto_Xajean deathPlace Kryana Kryana ethnicGroup Ilyonis Chroto_Xajean spouse Tuxin_Fohean ,,(X (X) (X (X))),mixed,3
Grima-column category Lucius_Tower Grima-column established 18668 Quchenter_County hasToItsSouthwest Elsterwood_County Grima-column location Quchenter_County Grima-column municipality Septillit ,,(X (X) (X) (X) (X (X))),mixed,5
Behold_the_Beast director Eustathios_Stathen Behold_the_Beast producer Thamit Behold_the_Beast writer Eustathios_Stathen ,,(X (X) (X) (X)),sibling,3
Celestio address Howley_Place Celestio architect SeSimon_Ymve Celestio currentTenants Coros_Business_School Celestio location Robsor Celestio owner Mycran_Academy ,,(X (X) (X) (X) (X) (X)),sibling,5
Tenginst director Mallen_Reyvas Tenginst runtime 4401.52 Tenginst starring Xerain_Louve ,,(X (X) (X) (X)),sibling,3
Cryzol populationDensity 3327.72 ,,(X (X)),NA,1
Duncuron areaTotal 4410.37 Egor_Jipen deathPlace Duncuron ,,(X (X (X))),chain,2
Snowfire_Glade broadcastedBy Flickrunners Snowfire_Glade director Exar_Sesar Snowfire_Glade musicComposer Mallen_Reyvas Snowfire_Glade producer Exar_Sesar ,,(X (X) (X) (X) (X)),sibling,4
Sophisticated_Steel broadcastedBy Ecresion_Supplies Ecresion_Supplies city ReaXpo_Tower Sophisticated_Steel creator Byeinu Sophisticated_Steel starring Fironia_Towx ,,(X (X) (X) (X (X))),mixed,4
Jetblast_Peak_Test_Strip location Grois_Governorate Jetblast_Peak_Test_Strip operatingOrganisation Mil_brown_Air_Force ,,(X (X) (X)),sibling,2
Weston_Landing runwayName Trestor ,,(X (X)),NA,1
Carival areaTotal 2933.31 Noxxus assembly Carival ,,(X (X (X))),chain,2
Leonan_Kwarr birthDate May_28_1988 Leonan_Kwarr birthPlace Duncuron ,,(X (X) (X)),sibling,2
Brasser_Academy campus Fervene Brasser_Academy numberOfDoctoralStudents 13912 Brasser_Academy numberOfPostgraduateStudents 2703.17 Brasser_Academy numberOfStudents 2058.93 Brasser_Academy staff 1025.82 ,,(X (X) (X) (X) (X) (X)),sibling,5
Omplex_Software location Lanthon Omplex_Software numberOfLocations 19331 ,,(X (X) (X)),sibling,2
Asibian apoapsis 1630.43 Asibian discovered February_21_1992 Asibian orbitalPeriod 599.41 ,,(X (X) (X) (X)),sibling,3
Bialyzia_Division country Yala`wa Reoidros_Hotspurs ground Battlegroove_Arena Reoidros_Hotspurs league Bialyzia_Division Battlegroove_Arena location Luzagar Reoidros_Hotspurs numberOfMembers 4103.29 Reoidros_Hotspurs season 3512 ,,(X (X) (X) (X (X)) (X (X))),mixed,6
Netom_Ecil birthPlace Jorvior Netom_Ecil deathPlace Tagert Netom_Ecil mission USSR-369 ,,(X (X) (X) (X)),sibling,3
Vorogon governmentType Najixis ,,(X (X)),NA,1
Uinnoda leaderTitle Imperial_Sovereign Caro_Nemeo residence Uinnoda ,,(X (X (X))),chain,2
Delbasquen followedBy Demvlyis Delbasquen genre Pockista Delbasquen genre Synthcrush Delbasquen producer Technoleck Delbasquen releaseDate August_3_1984 ,,(X (X) (X) (X) (X) (X)),sibling,5
Frox_Haria birthPlace Sunlenburg Frox_Haria deathPlace Nogovsk ,,(X (X) (X)),sibling,2
Auclair artist Radiacs Auclair followedBy Tivlitti Auclair genre Sub-Buzz Auclair producer Radiacs Auclair releaseDate January_16_1932 ,,(X (X) (X) (X) (X) (X)),sibling,5
Ploost artist Spazzopants Ploost followedBy Bieplick Ploost producer Spazzopants Ploost recordLabel Groovy_Revolutions ,,(X (X) (X) (X) (X)),sibling,4
Baba_Anate nationality Kalians Baba_Anate spouse Ranett_Mosv ,,(X (X) (X)),sibling,2
Erithor leader Thoras_Baras ,,(X (X)),NA,1
Cantan_Joron birthDate August_9_1936 Cantan_Joron nationality Glyon`xa ,,(X (X) (X)),sibling,2
Fyorona governmentType Grovland Torin_Yosh residence Timgley Torin_Yosh residence Fyorona ,,(X (X) (X (X))),mixed,3
Assault_Orbit genre Ztxtkrush ,,(X (X)),NA,1
Norka_Elore activeYearsStartYear 1627 Norka_Elore associatedBand/associatedMusicalArtist Oktet Norka_Elore genre Chaostrap ,,(X (X) (X) (X)),sibling,3
Adorth_Cliff_County hasToItsSoutheast Verdantbend_County Jeweltine_Miter location Adorth_Cliff_County Jeweltine_Miter state Meedon ,,(X (X) (X (X))),mixed,3
The_Prophecy_of_Fear editing Vackeron_Bline The_Prophecy_of_Fear musicComposer Fironia_Towx The_Prophecy_of_Fear releaseDate October_21_6543 The_Prophecy_of_Fear runtime 5122.27 The_Prophecy_of_Fear writer Vico_Iolle ,,(X (X) (X) (X) (X) (X)),sibling,5
Grand_Outcrops category Mallentor_Art_Museum Grand_Outcrops established 5666 Reyshton_County hasToItsSoutheast Brightmount_County Reyshton_County hasToItsWest Abington_County Grand_Outcrops location Reyshton_County Grand_Outcrops municipality Evirey ,,(X (X) (X) (X) (X (X) (X))),mixed,6
Shanteer_Trilan associatedBand/associatedMusicalArtist Orangoons Shanteer_Trilan genre Powetonez Shanteer_Trilan instrument Fretvarix ,,(X (X) (X) (X)),sibling,3
"Breaking_Barriers followedBy ""The_Mystical_World_of_Eloquence"" Breaking_Barriers literaryGenre Xetoimime Breaking_Barriers publisher Torone_Publishing ",,(X (X) (X) (X)),sibling,3
Celestial_Winds broadcastedBy Castaway_Productions Celestial_Winds director Ohleen_Ranon Celestial_Winds director Liairna_Anatle Celestial_Winds editor Diathan_Sarnon Celestial_Winds musicComposer Gateyon_Rious Celestial_Winds runtime 1018.15 ,,(X (X) (X) (X) (X) (X) (X)),sibling,6
Feal_Woddon birthDate March_26_1966 Feal_Woddon club Houtle_United Feal_Woddon currentclub Davidfield_United Houtle_United ground Netheloa Feal_Woddon height 9.45_(time-spans) ,,(X (X) (X) (X) (X (X))),mixed,5
Tempesto address Hocksmead_Turn Tempesto architect Ryteon_Vem Tempesto buildingStartDate December_18th_1978 Tempesto completionDate November_18_1985 Tempesto currentTenants Rubiel_Business_School Tempesto owner Azmina_University_of_Technology ,,(X (X) (X) (X) (X) (X) (X)),sibling,6
Jetlepeak precededBy FuzzPhase Jetlepeak recordLabel Dissonance_Synthesis Jetlepeak recordLabel Regal_Records ,,(X (X) (X) (X)),sibling,3
Flamingo_Bay director Fenen_Donco Flamingo_Bay director Nolin_Haran Flamingo_Bay producer Fenen_Donco Flamingo_Bay producer Nolin_Haran Flamingo_Bay runtime 553.15 ,,(X (X) (X) (X) (X) (X)),sibling,5
Nyx currentTenants Vayrrix_Business_School Nyx location Kestrel Nyx owner Oxgern_Technological_and_Scientific_University ,,(X (X) (X) (X)),sibling,3
Hilfoenr recordLabel Melodica_Music ,,(X (X)),NA,1
Drift_in_the_Dark director Dracon_Yialon Drift_in_the_Dark director Henes_Kimel Drift_in_the_Dark imdbId 2579.82 ,,(X (X) (X) (X)),sibling,3
Reap_of_the_Harvest director Nash_Zuenir Reap_of_the_Harvest editing Gateyon_Rious Reap_of_the_Harvest producer Frox_Haria Reap_of_the_Harvest releaseDate February_11_1991 ,,(X (X) (X) (X) (X)),sibling,4
Prodigymph genre Droppop Droppop musicFusionGenre Quickpulse ,,(X (X (X))),chain,2
Little_Karm almaMater The_Dracul_Institute_for_Strategic_Affairs Little_Karm birthDate August_4_1789 Little_Karm birthPlace Thivner Little_Karm deathPlace Amarias ,,(X (X) (X) (X) (X)),sibling,4
Kevalon_Nemes birthPlace Kylrathoots_Sporting Kevalon_Nemes deathDate July_19_1978 ,,(X (X) (X)),sibling,2
Zonara address Valgield_Avenue Zonara architect Ayre_Zhirina Zonara currentTenants Fillden_Business_School Zonara location Ambera Zonara owner Ranskin_Technological_Institute ,,(X (X) (X) (X) (X) (X)),sibling,5
Wilvius areaTotal 637.43 Corthune country Wilvius Corthune isPartOf Oveland Oveland type Ahmike ,,(X (X (X)) (X (X))),mixed,4
Street_Poppin stylisticOrigin Smudg_particle ,,(X (X)),NA,1
Nalvcoon artist Dark_Seraphs Nalvcoon runtime 2933.31 ,,(X (X) (X)),sibling,2
