id,triples,data_unit,actual,shape,shape_type,local_size,size
46,Šiauliai_State_College campus Steve_Bright Šiauliai_State_College city Industries_et_Agro-Ressources Šiauliai_State_College director Sarah_Teale Industries_et_Agro-Ressources founder Albert_Einstein Polish_Underground_State location Shanghai Šiauliai_State_College numberOfPostgraduateStudents 1542 Šiauliai_State_College wasGivenTheTechnicalCampusStatusBy Polish_Underground_State  ,Šiauliai_State_College campus Steve_Bright Šiauliai_State_College city Industries_et_Agro-Ressources Šiauliai_State_College director Sarah_Teale Industries_et_Agro-Ressources founder Albert_Einstein Polish_Underground_State location Shanghai Šiauliai_State_College numberOfPostgraduateStudents 1542 Šiauliai_State_College wasGivenTheTechnicalCampusStatusBy Polish_Underground_State ,,(X (X) (X) (X) (X (X)) (X (X))),mixed,1,7
47,JEF_Reserves populationTotal 54.56  ,JEF_Reserves populationTotal 54.56 ,,(X (X)),,1,1
48,Saab_9000 assembly New_Hampshire Saab_9000 productionEndYear 1686 Saab_9000 productionStartYear 1686  ,Saab_9000 assembly New_Hampshire Saab_9000 productionEndYear 1686 Saab_9000 productionStartYear 1686 ,,(X (X) (X) (X)),sibling,1,3
49,Oscar_García award Distinguished_Service_Medal_(United_States_Navy) Oscar_García birthDate 1703-05-27 Oscar_García birthPlace California Oscar_García deathPlace New_Hampshire Oscar_García nationality UK Oscar_García occupation church_musician Oscar_García servedAsChiefOfTheAstronautOfficeIn 1588  ,Oscar_García award Distinguished_Service_Medal_(United_States_Navy) Oscar_García birthDate 1703-05-27 Oscar_García birthPlace California Oscar_García deathPlace New_Hampshire Oscar_García nationality UK Oscar_García occupation church_musician Oscar_García servedAsChiefOfTheAstronautOfficeIn 1588 ,,(X (X) (X) (X) (X) (X) (X) (X)),sibling,1,7
50,Skelmersdale_United_F.C. chairmanTitle peritus Equatoguinean_Premier_League champions Cagliari_Calcio Equatoguinean_Premier_League country Israel Skelmersdale_United_F.C. ground Estadio_Jorge_Luis_Hirschi Skelmersdale_United_F.C. league Equatoguinean_Premier_League Estadio_Jorge_Luis_Hirschi location Jequitinhonha Skelmersdale_United_F.C. numberOfMembers 1439.0  ,Skelmersdale_United_F.C. chairmanTitle peritus Equatoguinean_Premier_League champions Cagliari_Calcio Equatoguinean_Premier_League country Israel Skelmersdale_United_F.C. ground Estadio_Jorge_Luis_Hirschi Skelmersdale_United_F.C. league Equatoguinean_Premier_League Estadio_Jorge_Luis_Hirschi location Jequitinhonha Skelmersdale_United_F.C. numberOfMembers 1439.0 ,,(X (X) (X) (X (X)) (X (X) (X))),mixed,1,7
51,Tychy leaderTitle Djibouti_Ports_and_Free_Zones_Authority  ,Tychy leaderTitle Djibouti_Ports_and_Free_Zones_Authority ,,(X (X)),,1,1
52,Parenthood broadcastedBy Sega Parenthood lastAired 1942-01-01  ,Parenthood broadcastedBy Sega Parenthood lastAired 1942-01-01 ,,(X (X) (X)),sibling,1,2
53,Gralheira governmentType county_council Gralheira populationDensity 610.0 Gralheira populationMetro 1800000000 Gralheira utcOffset −6  ,Gralheira governmentType county_council Gralheira populationDensity 610.0 Gralheira populationMetro 1800000000 Gralheira utcOffset −6 ,,(X (X) (X) (X) (X)),sibling,1,4
54,Mermaid_(Train_song) followedBy Gorky_Film_Studio Mermaid_(Train_song) precededBy Southern_sludge Mermaid_(Train_song) releaseDate 2006-09-06 Mermaid_(Train_song) runtime 387.63 Mermaid_(Train_song) writer Francisco_Antonio_Pinto Mermaid_(Train_song) writer 35007  ,Mermaid_(Train_song) followedBy Gorky_Film_Studio Mermaid_(Train_song) precededBy Southern_sludge Mermaid_(Train_song) releaseDate 2006-09-06 Mermaid_(Train_song) runtime 387.63 Mermaid_(Train_song) writer Francisco_Antonio_Pinto Mermaid_(Train_song) writer 35007 ,,(X (X) (X) (X) (X) (X) (X)),sibling,1,6
55,horse_and_buggy recordLabel Univision_Music_LLC  ,horse_and_buggy recordLabel Univision_Music_LLC ,,(X (X)),,1,1
56,(An_Imitation)_Blood_Orange genre Tswana_music (An_Imitation)_Blood_Orange producer Half_Japanese (An_Imitation)_Blood_Orange recordedIn Mexico (An_Imitation)_Blood_Orange recordedIn Ludwigshafen  ,(An_Imitation)_Blood_Orange genre Tswana_music (An_Imitation)_Blood_Orange producer Half_Japanese (An_Imitation)_Blood_Orange recordedIn Mexico (An_Imitation)_Blood_Orange recordedIn Ludwigshafen ,,(X (X) (X) (X) (X)),sibling,1,4
57,Pirates_II:_Stagnetti's_Revenge director Agustín_Sauto_Arana Pirates_II:_Stagnetti's_Revenge editing Toivo_Nykänen Pirates_II:_Stagnetti's_Revenge producer Charles_Lindbergh Pirates_II:_Stagnetti's_Revenge runtime 610.0  ,Pirates_II:_Stagnetti's_Revenge director Agustín_Sauto_Arana Pirates_II:_Stagnetti's_Revenge editing Toivo_Nykänen Pirates_II:_Stagnetti's_Revenge producer Charles_Lindbergh Pirates_II:_Stagnetti's_Revenge runtime 610.0 ,,(X (X) (X) (X) (X)),sibling,1,4
58,"Union_Pacific_6916 buildDate ""In_Soldevanahalli_Acharya_Dr._Sarvapalli_Radhakrishnan_Road_Hessarghatta_Main_Road_Bangalore_–_560090."" Union_Pacific_6916 cylinderCount 17000 Union_Pacific_6916 engine V10 Union_Pacific_6916 length 185.0_(centimetres)  ","Union_Pacific_6916 buildDate ""In_Soldevanahalli_Acharya_Dr._Sarvapalli_Radhakrishnan_Road_Hessarghatta_Main_Road_Bangalore_–_560090."" Union_Pacific_6916 cylinderCount 17000 Union_Pacific_6916 engine V10 Union_Pacific_6916 length 185.0_(centimetres) ",,(X (X) (X) (X) (X)),sibling,1,4
59,Made_in_Japan artist Hiperkarma Made_in_Japan producer Hiperkarma Made_in_Japan recordedIn Israel Made_in_Japan recordedIn Kampala Made_in_Japan runtime 27400  ,Made_in_Japan artist Hiperkarma Made_in_Japan producer Hiperkarma Made_in_Japan recordedIn Israel Made_in_Japan recordedIn Kampala Made_in_Japan runtime 27400 ,,(X (X) (X) (X) (X) (X)),sibling,1,5
60,Ramón_Barros_Luco almaMater University_of_Arak Ramón_Barros_Luco mission Apollo_11  ,Ramón_Barros_Luco almaMater University_of_Arak Ramón_Barros_Luco mission Apollo_11 ,,(X (X) (X)),sibling,1,2
61,Son_of_the_Bride author Laurent_Dauthuille Son_of_the_Bride publisher Hachette_Books  ,Son_of_the_Bride author Laurent_Dauthuille Son_of_the_Bride publisher Hachette_Books ,,(X (X) (X)),sibling,1,2
62,Bugatti_Type_55 assembly California Bugatti_Type_55 assembly Roswell Bugatti_Type_55 productionEndYear 1587  ,Bugatti_Type_55 assembly California Bugatti_Type_55 assembly Roswell Bugatti_Type_55 productionEndYear 1587 ,,(X (X) (X) (X)),sibling,1,3
63,Jennette_McCurdy almaMater Kyung_Hee_University Jennette_McCurdy deathPlace Leningrad_USSR Leningrad_USSR foundingDate 1942-01-01  ,Jennette_McCurdy almaMater Kyung_Hee_University Jennette_McCurdy deathPlace Leningrad_USSR Leningrad_USSR foundingDate 1942-01-01 ,,(X (X) (X (X))),mixed,1,3
64,Neues_aus_der_Florentiner_73 director Heinz_Mellmann Neues_aus_der_Florentiner_73 editor Taichang_Emperor Neues_aus_der_Florentiner_73 musicComposer James_Callaghan Neues_aus_der_Florentiner_73 runtime 260855000000.0  ,Neues_aus_der_Florentiner_73 director Heinz_Mellmann Neues_aus_der_Florentiner_73 editor Taichang_Emperor Neues_aus_der_Florentiner_73 musicComposer James_Callaghan Neues_aus_der_Florentiner_73 runtime 260855000000.0 ,,(X (X) (X) (X) (X)),sibling,1,4
65,10003_Caryhuang orbitalPeriod 380700000 10003_Caryhuang periapsis 230.05 10003_Caryhuang rotationPeriod 1604.0  ,10003_Caryhuang orbitalPeriod 380700000 10003_Caryhuang periapsis 230.05 10003_Caryhuang rotationPeriod 1604.0 ,,(X (X) (X) (X)),sibling,1,3
66,Manchester_Airport location Zuheros Manchester_Airport operatingOrganisation ENAV Manchester_Airport runwayLength 83.0  ,Manchester_Airport location Zuheros Manchester_Airport operatingOrganisation ENAV Manchester_Airport runwayLength 83.0 ,,(X (X) (X) (X)),sibling,1,3
67,Fugazi cinematography Juan_Antonio_Rios Fugazi director Rafael_Nadal Fugazi gross 1095.0 Fugazi musicComposer Eric_Abidal Fugazi runtime 3.16 Fugazi starring Jean_Poldo_d'Albenas Fugazi writer Carl_Junker  ,Fugazi cinematography Juan_Antonio_Rios Fugazi director Rafael_Nadal Fugazi gross 1095.0 Fugazi musicComposer Eric_Abidal Fugazi runtime 3.16 Fugazi starring Jean_Poldo_d'Albenas Fugazi writer Carl_Junker ,,(X (X) (X) (X) (X) (X) (X) (X)),sibling,1,7
68,An_die_Grenze broadcastedBy Film_i_Väst An_die_Grenze director Giorgio_Napolitano An_die_Grenze musicComposer Rachel_Maddow An_die_Grenze producer Giorgio_Napolitano  ,An_die_Grenze broadcastedBy Film_i_Väst An_die_Grenze director Giorgio_Napolitano An_die_Grenze musicComposer Rachel_Maddow An_die_Grenze producer Giorgio_Napolitano ,,(X (X) (X) (X) (X)),sibling,1,4
69,Mermaid_(Train_song) album Rarities Mermaid_(Train_song) followedBy Dschoint_Ventschr Mermaid_(Train_song) producer Espionage_(production_team)  ,Mermaid_(Train_song) album Rarities Mermaid_(Train_song) followedBy Dschoint_Ventschr Mermaid_(Train_song) producer Espionage_(production_team) ,,(X (X) (X) (X)),sibling,1,3
70,Sardar_Vallabhbhai_Patel_International_Airport icaoLocationIdentifier Mallacoota_Airport Sardar_Vallabhbhai_Patel_International_Airport location Llanfairpwllgwyngyll  ,Sardar_Vallabhbhai_Patel_International_Airport icaoLocationIdentifier Mallacoota_Airport Sardar_Vallabhbhai_Patel_International_Airport location Llanfairpwllgwyngyll ,,(X (X) (X)),sibling,1,2
71,"Beira_Airport elevationAboveTheSeaLevel 10252 Beira_Airport runwayName ""08/26"" Beira_Airport runwaySurfaceType polycarbonate_20%_glass_fiber_by_mass  ","Beira_Airport elevationAboveTheSeaLevel 10252 Beira_Airport runwayName ""08/26"" Beira_Airport runwaySurfaceType polycarbonate_20%_glass_fiber_by_mass ",,(X (X) (X) (X)),sibling,1,3
72,747_Winchester absoluteMagnitude 418476000000.0 747_Winchester apoapsis 282838.0 747_Winchester discovered 1994-06-14 747_Winchester rotationPeriod 11.5  ,747_Winchester absoluteMagnitude 418476000000.0 747_Winchester apoapsis 282838.0 747_Winchester discovered 1994-06-14 747_Winchester rotationPeriod 11.5 ,,(X (X) (X) (X) (X)),sibling,1,4
73,3280_Grétry apoapsis 70.308 3280_Grétry discoverer Geronimo 3280_Grétry orbitalPeriod 108600000 3280_Grétry rotationPeriod 387.63  ,3280_Grétry apoapsis 70.308 3280_Grétry discoverer Geronimo 3280_Grétry orbitalPeriod 108600000 3280_Grétry rotationPeriod 387.63 ,,(X (X) (X) (X) (X)),sibling,1,4
74,troubadoric_poetry derivative acid_rock  ,troubadoric_poetry derivative acid_rock ,,(X (X)),,1,1
75,Barnsley_College campus Stacy_Katzman Barnsley_College city Clúster_de_la_Indústria_d'Automoció_de_Catalunya Barnsley_College director NZ289147 Polish_Social_and_Cultural_Association location Dhaka Barnsley_College wasGivenTheTechnicalCampusStatusBy Polish_Social_and_Cultural_Association  ,Barnsley_College campus Stacy_Katzman Barnsley_College city Clúster_de_la_Indústria_d'Automoció_de_Catalunya Barnsley_College director NZ289147 Polish_Social_and_Cultural_Association location Dhaka Barnsley_College wasGivenTheTechnicalCampusStatusBy Polish_Social_and_Cultural_Association ,,(X (X) (X) (X) (X (X))),mixed,1,5
76,Bionico course Schlachteplatte Bionico region Morelos  ,Bionico course Schlachteplatte Bionico region Morelos ,,(X (X) (X)),sibling,1,2
77,712_Boliviana epoch 31_July_2016_(JD2457600.5) 712_Boliviana orbitalPeriod 29000 712_Boliviana periapsis 1604.0  ,712_Boliviana epoch 31_July_2016_(JD2457600.5) 712_Boliviana orbitalPeriod 29000 712_Boliviana periapsis 1604.0 ,,(X (X) (X) (X)),sibling,1,3
78,Tales_from_the_Punchbowl precededBy The_dB's Tales_from_the_Punchbowl recordedIn Cusseta Tales_from_the_Punchbowl releaseDate 1959-01-01 Tales_from_the_Punchbowl runtime 0004319  ,Tales_from_the_Punchbowl precededBy The_dB's Tales_from_the_Punchbowl recordedIn Cusseta Tales_from_the_Punchbowl releaseDate 1959-01-01 Tales_from_the_Punchbowl runtime 0004319 ,,(X (X) (X) (X) (X)),sibling,1,4
79,West_Bromwich_Albion_F.C. league Russian_Women's_Football_Championship West_Bromwich_Albion_F.C. nickname Southern_sludge  ,West_Bromwich_Albion_F.C. league Russian_Women's_Football_Championship West_Bromwich_Albion_F.C. nickname Southern_sludge ,,(X (X) (X)),sibling,1,2
80,"Dennis_Lawrence deathDate ""30_March_2007"" Dennis_Lawrence nationality Constitutional_Cabinet_of_Louis_XVI Dennis_Lawrence residence Scotland Dennis_Lawrence spouse Maslamah_ibn_Abd_al-Malik  ","Dennis_Lawrence deathDate ""30_March_2007"" Dennis_Lawrence nationality Constitutional_Cabinet_of_Louis_XVI Dennis_Lawrence residence Scotland Dennis_Lawrence spouse Maslamah_ibn_Abd_al-Malik ",,(X (X) (X) (X) (X)),sibling,1,4
81,"Richard_Wagner birthDate ""1923-11-18"" Richard_Wagner birthPlace Brigg_Town_F.C. Richard_Wagner birthPlace Novgorod_Republic Richard_Wagner deathDate 1908-05-02 Richard_Wagner residence Kyrgyzstan  ","Richard_Wagner birthDate ""1923-11-18"" Richard_Wagner birthPlace Brigg_Town_F.C. Richard_Wagner birthPlace Novgorod_Republic Richard_Wagner deathDate 1908-05-02 Richard_Wagner residence Kyrgyzstan ",,(X (X) (X) (X) (X) (X)),sibling,1,5
82,People's_Republic_of_China ethnicGroup Arabs_in_Khorasan  ,People's_Republic_of_China ethnicGroup Arabs_in_Khorasan ,,(X (X)),,1,1
