id,triples,data_unit,actual,shape,shape_type,local_size,size
18,"Isca_Anxin EndOfWorkPeriod 3875 Isca_Anxin HasChild Enna_Ceana Isca_Anxin NotableWork ""Lumen_V Isca_Anxin NumberOfChildren 3 Isca_Anxin Occupation Stanislava_Rozoux Isca_Anxin PlaceOfDeath Pytalmore  ","Isca_Anxin EndOfWorkPeriod 3875 Isca_Anxin HasChild Enna_Ceana Isca_Anxin NotableWork ""Lumen_V Isca_Anxin NumberOfChildren 3 Isca_Anxin Occupation Stanislava_Rozoux Isca_Anxin PlaceOfDeath Pytalmore ",,unknown,unknown,1,6
19,Elzer_Padon Employer Tormityard_University Elzer_Padon FieldOfWork Initiate_Seekings Elzer_Padon HasWorksInTheCollectionOf New_Light_Pavilion Elzer_Padon NativeLanguage Aglendian Elzer_Padon PlaceOfDeath Asagro Elzer_Padon PresentInWork Silver_Serpent_Thrones  ,Elzer_Padon Employer Tormityard_University Elzer_Padon FieldOfWork Initiate_Seekings Elzer_Padon HasWorksInTheCollectionOf New_Light_Pavilion Elzer_Padon NativeLanguage Aglendian Elzer_Padon PlaceOfDeath Asagro Elzer_Padon PresentInWork Silver_Serpent_Thrones ,,unknown,unknown,1,6
20,Chroto_Xajean EndOfWorkPeriod 2020 Chroto_Xajean Occupation Hefeah_Kravin Chroto_Xajean ParticipantIn Teucrian_Cup_XVI Chroto_Xajean PlaceOfBirth Baubeau  ,Chroto_Xajean EndOfWorkPeriod 2020 Chroto_Xajean Occupation Hefeah_Kravin Chroto_Xajean ParticipantIn Teucrian_Cup_XVI Chroto_Xajean PlaceOfBirth Baubeau ,,unknown,unknown,1,4
21,Nonos_Quier Genre Shakuzic Nonos_Quier HasChild Shanteer_Trilan Nonos_Quier Instrument Plectrodus Nonos_Quier Occupation Koral Nonos_Quier PlaceOfBirth Reymary Nonos_Quier ReligionOrWorldview Ekthelism Nonos_Quier UnmarriedPartner Dantor_Pauran  ,Nonos_Quier Genre Shakuzic Nonos_Quier HasChild Shanteer_Trilan Nonos_Quier Instrument Plectrodus Nonos_Quier Occupation Koral Nonos_Quier PlaceOfBirth Reymary Nonos_Quier ReligionOrWorldview Ekthelism Nonos_Quier UnmarriedPartner Dantor_Pauran ,,unknown,unknown,1,7
22,Vackeron_Bline EndOfWorkPeriod 3875 Vackeron_Bline EthnicGroup Dimbagolians Vackeron_Bline MannerOfDeath Effulgence Vackeron_Bline NotableWork Road_to_Revolution Vackeron_Bline Occupation Stanislava_Rozoux Vackeron_Bline PlaceOfBirth Kiyokaze  ,Vackeron_Bline EndOfWorkPeriod 3875 Vackeron_Bline EthnicGroup Dimbagolians Vackeron_Bline MannerOfDeath Effulgence Vackeron_Bline NotableWork Road_to_Revolution Vackeron_Bline Occupation Stanislava_Rozoux Vackeron_Bline PlaceOfBirth Kiyokaze ,,unknown,unknown,1,6
23,Egor_Jipen DateOfBirth 1991 Egor_Jipen Occupation Carpentry_Consultant Egor_Jipen ReligionOrWorldview Downeyedenism  ,Egor_Jipen DateOfBirth 1991 Egor_Jipen Occupation Carpentry_Consultant Egor_Jipen ReligionOrWorldview Downeyedenism ,,unknown,unknown,1,3
24,Jorel_Calyon DateOfBirth 1904-12-05 Jorel_Calyon NativeLanguage Labrunish Jorel_Calyon Occupation Asherl Jorel_Calyon PlaceOfBirth Wintertop Jorel_Calyon WritingLanguage Labrunish  ,Jorel_Calyon DateOfBirth 1904-12-05 Jorel_Calyon NativeLanguage Labrunish Jorel_Calyon Occupation Asherl Jorel_Calyon PlaceOfBirth Wintertop Jorel_Calyon WritingLanguage Labrunish ,,unknown,unknown,1,5
25,Ouashti_Osarum Occupation Raventender Ouashti_Osarum ParticipantIn 2077-78_Chroma_Series Ouashti_Osarum Sport Bubblechase  ,Ouashti_Osarum Occupation Raventender Ouashti_Osarum ParticipantIn 2077-78_Chroma_Series Ouashti_Osarum Sport Bubblechase ,,unknown,unknown,1,3
26,Geboren_Chasim HasChild Atok_Gesse Geboren_Chasim PlaceOfBurial Moirvey Geboren_Chasim PositionHeld Emperor_Dunvus Geboren_Chasim Sibling Roeran_Nadays  ,Geboren_Chasim HasChild Atok_Gesse Geboren_Chasim PlaceOfBurial Moirvey Geboren_Chasim PositionHeld Emperor_Dunvus Geboren_Chasim Sibling Roeran_Nadays ,,unknown,unknown,1,4
27,SeSimon_Ymve DateOfDeath 1953-06-12 SeSimon_Ymve HasChild Kole_Maasing SeSimon_Ymve HasFather Voqril_Ervel SeSimon_Ymve MilitaryRank Battle_Colonel SeSimon_Ymve PlaceOfBirth Ardensux SeSimon_Ymve Spouse Yiprun_Iriles  ,SeSimon_Ymve DateOfDeath 1953-06-12 SeSimon_Ymve HasChild Kole_Maasing SeSimon_Ymve HasFather Voqril_Ervel SeSimon_Ymve MilitaryRank Battle_Colonel SeSimon_Ymve PlaceOfBirth Ardensux SeSimon_Ymve Spouse Yiprun_Iriles ,,unknown,unknown,1,6
28,Atok_Gesse DateOfBirth 1982-02-10 Atok_Gesse Employer Impletyne_University Atok_Gesse ReligionOrWorldview Spatillism  ,Atok_Gesse DateOfBirth 1982-02-10 Atok_Gesse Employer Impletyne_University Atok_Gesse ReligionOrWorldview Spatillism ,,unknown,unknown,1,3
29,Dana_Grago DateOfDeath 1817-02-02 Dana_Grago PlaceOfBirth Xerses Dana_Grago WorkLocation Keluthon  ,Dana_Grago DateOfDeath 1817-02-02 Dana_Grago PlaceOfBirth Xerses Dana_Grago WorkLocation Keluthon ,,unknown,unknown,1,3
30,Eustathios_Stathen DateOfBirth 1943-06-26 Eustathios_Stathen DateOfDeath 1974-05-23 Eustathios_Stathen HasChild Tula_Nidello Eustathios_Stathen Occupation Draconius_Estervan Eustathios_Stathen PositionHeld Deput_Armandar Eustathios_Stathen ReligionOrWorldview Whiteesperance  ,Eustathios_Stathen DateOfBirth 1943-06-26 Eustathios_Stathen DateOfDeath 1974-05-23 Eustathios_Stathen HasChild Tula_Nidello Eustathios_Stathen Occupation Draconius_Estervan Eustathios_Stathen PositionHeld Deput_Armandar Eustathios_Stathen ReligionOrWorldview Whiteesperance ,,unknown,unknown,1,6
31,Thoras_Baras DateOfBirth 1040 Thoras_Baras Occupation Energy_Weaver Thoras_Baras WritingLanguage Fomese  ,Thoras_Baras DateOfBirth 1040 Thoras_Baras Occupation Energy_Weaver Thoras_Baras WritingLanguage Fomese ,,unknown,unknown,1,3
32,Socal_Amell HasChild Saham_Fliind Socal_Amell HasFather Aderon_Feenon Socal_Amell HasMother Egor_Jipen Socal_Amell Spouse Saham_Fliind Socal_Amell Spouse Leonan_Kwarr  ,Socal_Amell HasChild Saham_Fliind Socal_Amell HasFather Aderon_Feenon Socal_Amell HasMother Egor_Jipen Socal_Amell Spouse Saham_Fliind Socal_Amell Spouse Leonan_Kwarr ,,unknown,unknown,1,5
33,Tuxin_Fohean DateOfDeath 1997-11-24 Tuxin_Fohean PositionHeld Jaboon_Uthon Tuxin_Fohean ReligionOrWorldview Fegishion Tuxin_Fohean WritingLanguage Gesellan  ,Tuxin_Fohean DateOfDeath 1997-11-24 Tuxin_Fohean PositionHeld Jaboon_Uthon Tuxin_Fohean ReligionOrWorldview Fegishion Tuxin_Fohean WritingLanguage Gesellan ,,unknown,unknown,1,4
34,Wanaonta_Ismon Genre Vaperaitt Wanaonta_Ismon HasFather Vackeron_Bline Wanaonta_Ismon Instrument Marfrum Wanaonta_Ismon Occupation Tunemonger Wanaonta_Ismon OwnerOf Clanzon_Freight Wanaonta_Ismon ReligionOrWorldview Kresarven Wanaonta_Ismon Sibling Kevalon_Nemes  ,Wanaonta_Ismon Genre Vaperaitt Wanaonta_Ismon HasFather Vackeron_Bline Wanaonta_Ismon Instrument Marfrum Wanaonta_Ismon Occupation Tunemonger Wanaonta_Ismon OwnerOf Clanzon_Freight Wanaonta_Ismon ReligionOrWorldview Kresarven Wanaonta_Ismon Sibling Kevalon_Nemes ,,unknown,unknown,1,7
35,Zoogren_Stav FieldOfWork Chronusology Zoogren_Stav Occupation Energy_Weaver Zoogren_Stav PlaceOfBirth Noxit  ,Zoogren_Stav FieldOfWork Chronusology Zoogren_Stav Occupation Energy_Weaver Zoogren_Stav PlaceOfBirth Noxit ,,unknown,unknown,1,3
36,Amunda_Lune DateOfDeath 1917-09-11 Amunda_Lune MannerOfDeath Effulgence Amunda_Lune Occupation Plasmacaster Amunda_Lune PlaceOfBirth Stremaver  ,Amunda_Lune DateOfDeath 1917-09-11 Amunda_Lune MannerOfDeath Effulgence Amunda_Lune Occupation Plasmacaster Amunda_Lune PlaceOfBirth Stremaver ,,unknown,unknown,1,4
37,Egor_Jipen PlaceOfBirth Pruzila Egor_Jipen PlaceOfDeath Estradal  ,Egor_Jipen PlaceOfBirth Pruzila Egor_Jipen PlaceOfDeath Estradal ,,unknown,unknown,1,2
38,Vico_Iolle DateOfBirth 1962-03-06 Vico_Iolle HasChild Ayre_Zhirina Elai_Shorce HasMother Mallen_Reyvas Vico_Iolle Occupation Mythrodons Vico_Iolle Sibling Jorja_Zerne Vico_Iolle Spouse Mallen_Reyvas  ,Vico_Iolle DateOfBirth 1962-03-06 Vico_Iolle HasChild Ayre_Zhirina Elai_Shorce HasMother Mallen_Reyvas Vico_Iolle Occupation Mythrodons Vico_Iolle Sibling Jorja_Zerne Vico_Iolle Spouse Mallen_Reyvas ,,unknown,unknown,1,6
39,Remol_Certran Employer Tuliot_Private_University Remol_Certran ParticipantIn Trimpulse Remol_Certran PlaceOfBirth Cederville  ,Remol_Certran Employer Tuliot_Private_University Remol_Certran ParticipantIn Trimpulse Remol_Certran PlaceOfBirth Cederville ,,unknown,unknown,1,3
40,"Aloro_Zon Genre The_Arcadius Aloro_Zon HasChild Elignoth_Schade Aloro_Zon HasFather Gateyon_Rious Aloro_Zon NativeLanguage Danaen Aloro_Zon NotableWork ""Storm_of_the_King_of_the_Jungle"" Aloro_Zon Occupation Reality_Builder Aloro_Zon PlaceOfBirth Grevisa  ","Aloro_Zon Genre The_Arcadius Aloro_Zon HasChild Elignoth_Schade Aloro_Zon HasFather Gateyon_Rious Aloro_Zon NativeLanguage Danaen Aloro_Zon NotableWork ""Storm_of_the_King_of_the_Jungle"" Aloro_Zon Occupation Reality_Builder Aloro_Zon PlaceOfBirth Grevisa ",,unknown,unknown,1,7
41,Gateyon_Rious NominatedFor Notestar_Grammy Gateyon_Rious Occupation Spin_Circuit_Probeologist Gateyon_Rious PlaceOfBirth Condonn_City Gateyon_Rious ReligionOrWorldview Newardship Gateyon_Rious UnmarriedPartner Hadan_Takeon  ,Gateyon_Rious NominatedFor Notestar_Grammy Gateyon_Rious Occupation Spin_Circuit_Probeologist Gateyon_Rious PlaceOfBirth Condonn_City Gateyon_Rious ReligionOrWorldview Newardship Gateyon_Rious UnmarriedPartner Hadan_Takeon ,,unknown,unknown,1,5
42,Dauton_Lasse DateOfDeath 1869-08-13 Dauton_Lasse FieldOfWork Magiotechnics Dauton_Lasse HasFather Asthona_Meyas Dauton_Lasse NominatedFor Inventoria_Medallion_Of_Chemistry Dauton_Lasse Sibling SeSimon_Ymve Dauton_Lasse WorkLocation Felsbera  ,Dauton_Lasse DateOfDeath 1869-08-13 Dauton_Lasse FieldOfWork Magiotechnics Dauton_Lasse HasFather Asthona_Meyas Dauton_Lasse NominatedFor Inventoria_Medallion_Of_Chemistry Dauton_Lasse Sibling SeSimon_Ymve Dauton_Lasse WorkLocation Felsbera ,,unknown,unknown,1,6
43,Dana_Grago EndOfWorkPeriod 2010 Dana_Grago Mass 76.0_kilogram Dana_Grago ParticipantIn 2077-78_Chroma_Series  ,Dana_Grago EndOfWorkPeriod 2010 Dana_Grago Mass 76.0_kilogram Dana_Grago ParticipantIn 2077-78_Chroma_Series ,,unknown,unknown,1,3
44,Socal_Amell DateOfBirth 1977-09-17 Socal_Amell FieldOfWork Shehophetica Socal_Amell MilitaryRank Blindón Socal_Amell NativeLanguage Sanctum_D'Accordo Socal_Amell Occupation Boundary_Agent Socal_Amell PlaceOfBirth Grov Socal_Amell PositionHeld President_Glorina_Grasso  ,Socal_Amell DateOfBirth 1977-09-17 Socal_Amell FieldOfWork Shehophetica Socal_Amell MilitaryRank Blindón Socal_Amell NativeLanguage Sanctum_D'Accordo Socal_Amell Occupation Boundary_Agent Socal_Amell PlaceOfBirth Grov Socal_Amell PositionHeld President_Glorina_Grasso ,,unknown,unknown,1,7
45,Coltion_Gowvan FieldOfWork Skyline_Drama_Co. Coltion_Gowvan Occupation Argil_Gamin Coltion_Gowvan PlaceOfBirth Quirmous  ,Coltion_Gowvan FieldOfWork Skyline_Drama_Co. Coltion_Gowvan Occupation Argil_Gamin Coltion_Gowvan PlaceOfBirth Quirmous ,,unknown,unknown,1,3
46,Asthona_Meyas HasChild Fretheon_Rykne Gevril_Eino HasFather Asthona_Meyas Asthona_Meyas PlaceOfBirth Huningbeng Montanul_Shorn Spouse Asthona_Meyas  ,Asthona_Meyas HasChild Fretheon_Rykne Gevril_Eino HasFather Asthona_Meyas Asthona_Meyas PlaceOfBirth Huningbeng Montanul_Shorn Spouse Asthona_Meyas ,,unknown,unknown,1,4
47,Henes_Kimel Occupation Dissembler Henes_Kimel PlaceOfBirth Antonasia  ,Henes_Kimel Occupation Dissembler Henes_Kimel PlaceOfBirth Antonasia ,,unknown,unknown,1,2
48,Jaro_Tynos HasChild Aloro_Zon Vackeron_Bline HasFather Roka_Maram Vackeron_Bline HasMother Jaro_Tynos Vackeron_Bline PlaceOfBirth Fert Vackeron_Bline PlaceOfDeath Cropilla_House Jaro_Tynos Spouse Roka_Maram  ,Jaro_Tynos HasChild Aloro_Zon Vackeron_Bline HasFather Roka_Maram Vackeron_Bline HasMother Jaro_Tynos Vackeron_Bline PlaceOfBirth Fert Vackeron_Bline PlaceOfDeath Cropilla_House Jaro_Tynos Spouse Roka_Maram ,,unknown,unknown,1,6
49,Little_Karm ParticipantIn Doododmil_Olympiad Rechart_Skyel PlaceOfBirth Grenwick Rechart_Skyel Sport Clomper Rechart_Skyel Spouse Little_Karm  ,Little_Karm ParticipantIn Doododmil_Olympiad Rechart_Skyel PlaceOfBirth Grenwick Rechart_Skyel Sport Clomper Rechart_Skyel Spouse Little_Karm ,,unknown,unknown,1,4
50,"Oshedon_Zaqar Employer Idlewood_Pictures Oshedon_Zaqar FieldOfWork ""Lightspace"" Oshedon_Zaqar MannerOfDeath Narirrapture Oshedon_Zaqar NotableWork Mist_of_Deceit Oshedon_Zaqar Occupation Alazier_Baldin Oshedon_Zaqar PlaceOfBurial Silverbell_Graveyard Oshedon_Zaqar Spouse Majeron_Vlare  ","Oshedon_Zaqar Employer Idlewood_Pictures Oshedon_Zaqar FieldOfWork ""Lightspace"" Oshedon_Zaqar MannerOfDeath Narirrapture Oshedon_Zaqar NotableWork Mist_of_Deceit Oshedon_Zaqar Occupation Alazier_Baldin Oshedon_Zaqar PlaceOfBurial Silverbell_Graveyard Oshedon_Zaqar Spouse Majeron_Vlare ",,unknown,unknown,1,7
51,Assova_Amevis HasFather Jorja_Zerne Assova_Amevis HasMother Onenza_Zat Assova_Amevis Occupation Vapormage Assova_Amevis PlaceOfBirth Pyarhola Onenza_Zat Spouse Jorja_Zerne  ,Assova_Amevis HasFather Jorja_Zerne Assova_Amevis HasMother Onenza_Zat Assova_Amevis Occupation Vapormage Assova_Amevis PlaceOfBirth Pyarhola Onenza_Zat Spouse Jorja_Zerne ,,unknown,unknown,1,5
52,Zireen_William Occupation Cadin_Sullivan Zireen_William PlaceOfDeath Rivivip  ,Zireen_William Occupation Cadin_Sullivan Zireen_William PlaceOfDeath Rivivip ,,unknown,unknown,1,2
53,Exar_Sesar DateOfBirth 1910-10-07 Exar_Sesar Mass 64.0_kilogram Quintin_Yoson ParticipantIn Observatory_Jumping Quintin_Yoson Sport Turnnag Quintin_Yoson Spouse Exar_Sesar  ,Exar_Sesar DateOfBirth 1910-10-07 Exar_Sesar Mass 64.0_kilogram Quintin_Yoson ParticipantIn Observatory_Jumping Quintin_Yoson Sport Turnnag Quintin_Yoson Spouse Exar_Sesar ,,unknown,unknown,1,5
54,Quintin_Yoson EthnicGroup Macaulians Quintin_Yoson PlaceOfBurial Mishaketik_Reserve Quintin_Yoson PlaceOfDeath Mishaketik_Reserve  ,Quintin_Yoson EthnicGroup Macaulians Quintin_Yoson PlaceOfBurial Mishaketik_Reserve Quintin_Yoson PlaceOfDeath Mishaketik_Reserve ,,unknown,unknown,1,3
55,Zozo_Isandria Occupation Shimmer_Mechanic Jacee_Mel PlaceOfBirth Santonnisio Lesollax_Neais PlaceOfDeath Santonnisio Zozo_Isandria StudentOf Lesollax_Neais  ,Zozo_Isandria Occupation Shimmer_Mechanic Jacee_Mel PlaceOfBirth Santonnisio Lesollax_Neais PlaceOfDeath Santonnisio Zozo_Isandria StudentOf Lesollax_Neais ,,unknown,unknown,1,4
56,Orman_Saat DateOfDeath 1809-05-31 Orman_Saat Employer Skybright_Educ Orman_Saat Occupation Core_Cartographer Orman_Saat PlaceOfBirth Proseti  ,Orman_Saat DateOfDeath 1809-05-31 Orman_Saat Employer Skybright_Educ Orman_Saat Occupation Core_Cartographer Orman_Saat PlaceOfBirth Proseti ,,unknown,unknown,1,4
57,Ouashti_Osarum DateOfBirth 1975-05-30 Ouashti_Osarum HasChild Majeron_Vlare  ,Ouashti_Osarum DateOfBirth 1975-05-30 Ouashti_Osarum HasChild Majeron_Vlare ,,unknown,unknown,1,2
58,Jorel_Calyon DateOfDeath 2006-08-30 Jorel_Calyon Occupation Colonel_Siow Jorel_Calyon PlaceOfBirth Girby_County Jorel_Calyon PositionHeld Kezmir_Batae Jorel_Calyon SocialClassification Acrynus Jorel_Calyon WorkLocation Luckywater  ,Jorel_Calyon DateOfDeath 2006-08-30 Jorel_Calyon Occupation Colonel_Siow Jorel_Calyon PlaceOfBirth Girby_County Jorel_Calyon PositionHeld Kezmir_Batae Jorel_Calyon SocialClassification Acrynus Jorel_Calyon WorkLocation Luckywater ,,unknown,unknown,1,6
59,Vackeron_Bline DateOfBirth 1925-11-11 Vackeron_Bline HasMother Isca_Anxin Vackeron_Bline NumberOfChildren 2 Vackeron_Bline PlaceOfBirth Hycilo Vackeron_Bline Spouse Aidah_Lerel Vackeron_Bline WritingLanguage Manchillan  ,Vackeron_Bline DateOfBirth 1925-11-11 Vackeron_Bline HasMother Isca_Anxin Vackeron_Bline NumberOfChildren 2 Vackeron_Bline PlaceOfBirth Hycilo Vackeron_Bline Spouse Aidah_Lerel Vackeron_Bline WritingLanguage Manchillan ,,unknown,unknown,1,6
60,Mallen_Reyvas Occupation Asherl Mallen_Reyvas PlaceOfBirth Venalla Mallen_Reyvas Spouse Payda_Ploce Mallen_Reyvas WritingLanguage Jelorin  ,Mallen_Reyvas Occupation Asherl Mallen_Reyvas PlaceOfBirth Venalla Mallen_Reyvas Spouse Payda_Ploce Mallen_Reyvas WritingLanguage Jelorin ,,unknown,unknown,1,4
61,Brineon_Darka Employer Sarnata_Technical_Institute Brineon_Darka Occupation Lunine_Makonite Brineon_Darka PlaceOfBirth Talisosa  ,Brineon_Darka Employer Sarnata_Technical_Institute Brineon_Darka Occupation Lunine_Makonite Brineon_Darka PlaceOfBirth Talisosa ,,unknown,unknown,1,3
62,Daron_Bidor Family Zha Daron_Bidor HasFather Aidah_Lerel Aidah_Lerel Occupation Mythrodons Aidah_Lerel Sibling Thoras_Baras  ,Daron_Bidor Family Zha Daron_Bidor HasFather Aidah_Lerel Aidah_Lerel Occupation Mythrodons Aidah_Lerel Sibling Thoras_Baras ,,unknown,unknown,1,4
63,Kole_Maasing DateOfBirth 1967-09-06 Kole_Maasing Mass 94.0_kilogram Kole_Maasing ParticipantIn Trimpulse  ,Kole_Maasing DateOfBirth 1967-09-06 Kole_Maasing Mass 94.0_kilogram Kole_Maasing ParticipantIn Trimpulse ,,unknown,unknown,1,3
64,Ryteon_Vem Movement Elmerianism Ryteon_Vem Occupation Vapormage Ryteon_Vem Occupation Horasius_Lamarcom Ryteon_Vem PlaceOfDeath Crombix Ryteon_Vem StudentOf Zozo_Isandria  ,Ryteon_Vem Movement Elmerianism Ryteon_Vem Occupation Vapormage Ryteon_Vem Occupation Horasius_Lamarcom Ryteon_Vem PlaceOfDeath Crombix Ryteon_Vem StudentOf Zozo_Isandria ,,unknown,unknown,1,5
